SampleID	assigned_arm	chr	Length	total_length_neutral	total_length_gain	total_length_loss	proportion_neutral	proportion_gain	proportion_loss	final_average_TL_p75	chr_order	arm	arm_call	arm_num_seg	arm_cr_wmean	type	total_size	SVs_density
2436A	chr7p	chr7	62064435	6606897	0	0	0.106452221791756	0	0	4684.33333333333	7	p	0	5	1.00557482688312	DEL	130354	0.00210030108225427
2436A	chr7p	chr7	62064435	6606897	0	0	0.106452221791756	0	0	4684.33333333333	7	p	0	5	1.00557482688312	INV	1095	1.76429544553173e-05
2436A	chr7q	chr7	98502993	4404598	0	0	0.044715372252699	0	0	6483.08333333333	7	q	0	5	1.03167298843621	DEL	169895	0.00172476992653411
2436A	chr7q	chr7	98502993	4404598	0	0	0.044715372252699	0	0	6483.08333333333	7	q	0	5	1.03167298843621	INV	12686	0.000128787964848946
2436A	chr7q	chr7	98502993	4404598	0	0	0.044715372252699	0	0	6483.08333333333	7	q	0	5	1.03167298843621	DUP	96572	0.00098039660581684
2436A	chr8q	chr8	100988875	2200891	0	0	0.0217934005106998	0	0	6406.33333333333	8	q	0	8	1.04184933630092	DEL	118121	0.00116964368600007
2436A	chr8q	chr8	100988875	2200891	0	0	0.0217934005106998	0	0	6406.33333333333	8	q	0	8	1.04184933630092	INV	7483	7.40972706152039e-05
2436A	chr9p	chr9	46267185	0	3200368	0	0	0.0691714440807237	0	4389.58333333333	9	p	0	3	1.02598044754705	DEL	99182	0.00214367915402677
2436A	chr9p	chr9	46267185	0	3200368	0	0	0.0691714440807237	0	4389.58333333333	9	p	0	3	1.02598044754705	DUP	4094	8.84860403761327e-05
2436A	chr9q	chr9	104350062	0	200023	400046	0	0.00191684601011545	0.0038336920202309	3546.25	9	q	0	3	1.02343092577611	DEL	214666	0.00205717175328559
2436A	chr9q	chr9	104350062	0	200023	400046	0	0.00191684601011545	0.0038336920202309	3546.25	9	q	0	3	1.02343092577611	DUP	8243	7.8993724028645e-05
3188	chr10q	chr10	94108943	0	0	41648861	0	0	0.442560076357462	3496.5	10	q	NA	7	0.590461955048306	DEL	168082	0.00178603642376474
3188	chr10q	chr10	94108943	0	0	41648861	0	0	0.442560076357462	3496.5	10	q	NA	7	0.590461955048306	INV	135618624	1.44108115208562
3188	chr11p	chr11	52743313	0	1401330	0	0	0.0265688657062555	0	2651.25	11	p	0	2	1.05373421929665	DEL	161591	0.00306372487446892
3188	chr11p	chr11	52743313	0	1401330	0	0	0.0265688657062555	0	2651.25	11	p	0	2	1.05373421929665	DUP	47879696	0.907787040226313
3188	chr11p	chr11	52743313	0	1401330	0	0	0.0265688657062555	0	2651.25	11	p	0	2	1.05373421929665	INV	743719685	14.1007388936679
3188	chr11q	chr11	82384456	0	55252164	0	0	0.670662485165891	0	3293	11	q	1	5	1.31342539373427	DEL	11212395	0.136098428567641
3188	chr11q	chr11	82384456	0	55252164	0	0	0.670662485165891	0	3293	11	q	1	5	1.31342539373427	INV	203454337	2.4695718935135
3188	chr11q	chr11	82384456	0	55252164	0	0	0.670662485165891	0	3293	11	q	1	5	1.31342539373427	DUP	32485502	0.394315913186342
3188	chr12p	chr12	35911664	0	0	48245072	0	0	1.34343738569174	2473.5	12	p	-1	NA	NA	DEL	84967659	2.36601843345382
3188	chr12p	chr12	35911664	0	0	48245072	0	0	1.34343738569174	2473.5	12	p	-1	NA	NA	INV	284810419	7.93086109849992
3188	chr12q	chr12	97412884	0	0	82877418	0	0	0.850784974192941	2691	12	q	-1	8	0.599211006748424	DEL	94315	0.00096819841613559
3188	chr12q	chr12	97412884	0	0	82877418	0	0	0.850784974192941	2691	12	q	-1	8	0.599211006748424	DUP	3813340	0.0391461564776175
3188	chr12q	chr12	97412884	0	0	82877418	0	0	0.850784974192941	2691	12	q	-1	8	0.599211006748424	INV	226874008	2.32899385259962
3188	chr13q	chr13	97043744	25637623	0	0	0.264186251923669	0	0	3465	13	q	0	7	0.969445629546559	DEL	12147332	0.125173777301914
3188	chr13q	chr13	97043744	25637623	0	0	0.264186251923669	0	0	3465	13	q	0	7	0.969445629546559	INV	343914824	3.54391545322077
3188	chr13q	chr13	97043744	25637623	0	0	0.264186251923669	0	0	3465	13	q	0	7	0.969445629546559	DUP	12409796	0.127878372046322
3188	chr14q	chr14	89761231	1001595	5208311	47075153	0.0111584365414953	0.0580240594071175	0.524448611895708	2626	14	q	NA	NA	NA	DEL	53950542	0.601045032459504
3188	chr14q	chr14	89761231	1001595	5208311	47075153	0.0111584365414953	0.0580240594071175	0.524448611895708	2626	14	q	NA	NA	NA	INV	753505942	8.39455891597565
3188	chr14q	chr14	89761231	1001595	5208311	47075153	0.0111584365414953	0.0580240594071175	0.524448611895708	2626	14	q	NA	NA	NA	DUP	303034240	3.37600361118042
3188	chr15q	chr15	82566565	6209548	2003080	1802772	0.0752065681792624	0.024260183283633	0.0218341649552697	1874	15	q	0	NA	NA	DEL	100585	0.00121822919483207
3188	chr15q	chr15	82566565	6209548	2003080	1802772	0.0752065681792624	0.024260183283633	0.0218341649552697	1874	15	q	0	NA	NA	DUP	46146573	0.558901451210911
3188	chr15q	chr15	82566565	6209548	2003080	1802772	0.0752065681792624	0.024260183283633	0.0218341649552697	1874	15	q	0	NA	NA	INV	110794353	1.34187916137725
3188	chr18p	chr18	18449624	25044375	0	0	1.35744636313456	0	0	2226	18	p	0	3	0.916502650657046	DEL	11810	0.000640121446377444
3188	chr18p	chr18	18449624	25044375	0	0	1.35744636313456	0	0	2226	18	p	0	3	0.916502650657046	INV	198372337	10.7521073058183
3188	chr18q	chr18	62092914	16028334	0	0	0.258134672178536	0	0	2874.25	18	q	0	6	0.951565328346263	DEL	98331	0.00158361065161155
3188	chr18q	chr18	62092914	16028334	0	0	0.258134672178536	0	0	2874.25	18	q	0	6	0.951565328346263	INV	74454812	1.19908709712029
3188	chr18q	chr18	62092914	16028334	0	0	0.258134672178536	0	0	2874.25	18	q	0	6	0.951565328346263	DUP	32771996	0.527789628298005
3188	chr19p	chr19	27792923	15827571	0	3606282	0.569482058436243	0	0.12975540571965	3120.16666666667	19	p	0	2	0.953043532907318	DEL	100047	0.00359972932677862
3188	chr19p	chr19	27792923	15827571	0	3606282	0.569482058436243	0	0.12975540571965	3120.16666666667	19	p	0	2	0.953043532907318	DUP	422	1.51837214099431e-05
3188	chr19p	chr19	27792923	15827571	0	3606282	0.569482058436243	0	0.12975540571965	3120.16666666667	19	p	0	2	0.953043532907318	INV	45145224	1.6243424270272
3188	chr19q	chr19	33914441	8013951	0	23240368	0.236299073895984	0	0.685264663510155	2957.66666666667	19	q	NA	NA	NA	DEL	69919	0.00206162914494153
3188	chr19q	chr19	33914441	8013951	0	23240368	0.236299073895984	0	0.685264663510155	2957.66666666667	19	q	NA	NA	NA	INV	17702877	0.521986401014246
3188	chr19q	chr19	33914441	8013951	0	23240368	0.236299073895984	0	0.685264663510155	2957.66666666667	19	q	NA	NA	NA	DUP	255	7.51892092221128e-06
3188	chr1p	chr1	124048267	0	0	141506757	0	0	1.14073949134654	1642.5	1	p	-1	5	0.76489338996584	DEL	389636135	3.14100425925338
3188	chr1p	chr1	124048267	0	0	141506757	0	0	1.14073949134654	1642.5	1	p	-1	5	0.76489338996584	INV	2212180161	17.8332210074325
3188	chr1p	chr1	124048267	0	0	141506757	0	0	1.14073949134654	1642.5	1	p	-1	5	0.76489338996584	DUP	197624008	1.59312187730926
3188	chr1q	chr1	124339061	0	1000750	0	0	0.00804855684087883	0	3086.5	1	q	0	3	1.06351406533627	DEL	82339694	0.662219043137217
3188	chr1q	chr1	124339061	0	1000750	0	0	0.00804855684087883	0	3086.5	1	q	0	3	1.06351406533627	DUP	108670729	0.873987049009482
3188	chr1q	chr1	124339061	0	1000750	0	0	0.00804855684087883	0	3086.5	1	q	0	3	1.06351406533627	INV	225521976	1.81376611811473
3188	chr20q	chr20	38197502	0	1400217	0	0	0.0366572924061893	0	2868.25	20	q	0	2	1.03904651762928	DEL	137126	0.00358992061836923
3188	chr20q	chr20	38197502	0	1400217	0	0	0.0366572924061893	0	2868.25	20	q	0	2	1.03904651762928	INV	8025	0.000210092272526093
3188	chr22q	chr22	37075304	5613664	1603904	0	0.151412487406711	0.0432607106876319	0	2676	22	q	0	3	0.962062983969502	DEL	79552	0.00214568705896518
3188	chr22q	chr22	37075304	5613664	1603904	0	0.151412487406711	0.0432607106876319	0	2676	22	q	0	3	0.962062983969502	INV	19935616	0.537706069787047
3188	chr22q	chr22	37075304	5613664	1603904	0	0.151412487406711	0.0432607106876319	0	2676	22	q	0	3	0.962062983969502	DUP	266	7.17458715915047e-06
3188	chr2q	chr2	149193469	0	0	1400560	0	0	0.00938754229248467	1928	2	q	NA	NA	NA	DEL	146674533	0.983116311880918
3188	chr2q	chr2	149193469	0	0	1400560	0	0	0.00938754229248467	1928	2	q	NA	NA	NA	DUP	281185858	1.88470621324584
3188	chr2q	chr2	149193469	0	0	1400560	0	0	0.00938754229248467	1928	2	q	NA	NA	NA	INV	1014257513	6.79827019103631
3188	chr4q	chr4	141122471	0	6205611	6205611	0	0.0439732308825573	0.0439732308825573	4114.5	4	q	NA	2	1.12942342215392	DEL	207064	0.00146726455774715
3188	chr4q	chr4	141122471	0	6205611	6205611	0	0.0439732308825573	0.0439732308825573	4114.5	4	q	NA	2	1.12942342215392	DUP	263414693	1.86656803224484
3188	chr4q	chr4	141122471	0	6205611	6205611	0	0.0439732308825573	0.0439732308825573	4114.5	4	q	NA	2	1.12942342215392	INV	900154272	6.37853253008871
3188	chr5p	chr5	48317879	0	1200300	44211050	0	0.0248417361200809	0.915003947089648	3681	5	p	NA	NA	NA	DEL	494756935	10.2396244462635
3188	chr5p	chr5	48317879	0	1200300	44211050	0	0.0248417361200809	0.915003947089648	3681	5	p	NA	NA	NA	INV	2503677224	51.8167865770764
3188	chr5p	chr5	48317879	0	1200300	44211050	0	0.0248417361200809	0.915003947089648	3681	5	p	NA	NA	NA	DUP	356366988	7.37546836441227
3188	chr5q	chr5	133727560	15203800	0	62415553	0.113692345841052	0	0.466736647255061	2158	5	q	NA	NA	NA	DEL	59470694	0.444715315227467
3188	chr5q	chr5	133727560	15203800	0	62415553	0.113692345841052	0	0.466736647255061	2158	5	q	NA	NA	NA	INV	1488687742	11.1322433610544
3188	chr5q	chr5	133727560	15203800	0	62415553	0.113692345841052	0	0.466736647255061	2158	5	q	NA	NA	NA	DUP	289074523	2.16166752014319
3188	chr6p	chr6	59672548	0	55240772	99473059	0	0.925731745190435	1.66698192609439	2707.5	6	p	-1	NA	NA	DEL	149068861	2.49811456014917
3188	chr6p	chr6	59672548	0	55240772	99473059	0	0.925731745190435	1.66698192609439	2707.5	6	p	-1	NA	NA	INV	519424289	8.70457700247692
3188	chr6p	chr6	59672548	0	55240772	99473059	0	0.925731745190435	1.66698192609439	2707.5	6	p	-1	NA	NA	DUP	14183869	0.237695045299557
3188	chr6q	chr6	112454080	0	0	13810143	0	0	0.122806953736138	2246.33333333333	6	q	NA	NA	NA	DEL	124478	0.00110692293245385
3188	chr6q	chr6	112454080	0	0	13810143	0	0	0.122806953736138	2246.33333333333	6	q	NA	NA	NA	INV	119496652	1.06262620262422
3188	chr6q	chr6	112454080	0	0	13810143	0	0	0.122806953736138	2246.33333333333	6	q	NA	NA	NA	DUP	21762984	0.193527740389677
3188	chr7q	chr7	98502993	0	4404576	0	0	0.0447151489092316	0	2375.75	7	q	NA	NA	NA	DEL	193029	0.00195962573441804
3188	chr7q	chr7	98502993	0	4404576	0	0	0.0447151489092316	0	2375.75	7	q	NA	NA	NA	INV	339102461	3.44255997378679
3188	chr7q	chr7	98502993	0	4404576	0	0	0.0447151489092316	0	2375.75	7	q	NA	NA	NA	DUP	41283160	0.41910564077987
3188	chr8p	chr8	45270456	0	46819073	0	0	1.03420811577423	0	2236.625	8	p	1	NA	NA	DEL	81196	0.00179357592510223
3188	chr8p	chr8	45270456	0	46819073	0	0	1.03420811577423	0	2236.625	8	p	1	NA	NA	DUP	913	2.01676784523664e-05
3188	chr8p	chr8	45270456	0	46819073	0	0	1.03420811577423	0	2236.625	8	p	1	NA	NA	INV	49747065	1.09888588266043
3188	chr8q	chr8	100988875	0	97239366	0	0	0.962872058927283	0	3307.66666666667	8	q	1	8	1.44908158255162	DEL	61170097	0.605711242946315
3188	chr8q	chr8	100988875	0	97239366	0	0	0.962872058927283	0	3307.66666666667	8	q	1	8	1.44908158255162	INV	244650211	2.422546156693
3188	chr8q	chr8	100988875	0	97239366	0	0	0.962872058927283	0	3307.66666666667	8	q	1	8	1.44908158255162	DUP	65349210	0.647093157538392
3188	chr9p	chr9	46267185	1200138	8000920	38204393	0.0259392915302714	0.172928610201809	0.82573411371364	2822.5	9	p	-1	3	0.780876529415245	DEL	64442	0.00139282301268167
3188	chr9p	chr9	46267185	1200138	8000920	38204393	0.0259392915302714	0.172928610201809	0.82573411371364	2822.5	9	p	-1	3	0.780876529415245	INV	148283741	3.20494408726185
3188	chr9p	chr9	46267185	1200138	8000920	38204393	0.0259392915302714	0.172928610201809	0.82573411371364	2822.5	9	p	-1	3	0.780876529415245	DUP	1323	2.85947805123653e-05
3188	chr9q	chr9	104350062	0	71808188	0	0	0.688147056395616	0	3129.7	9	q	NA	2	1.3762473092823	DEL	262027	0.00251103827806063
3188	chr9q	chr9	104350062	0	71808188	0	0	0.688147056395616	0	3129.7	9	q	NA	2	1.3762473092823	INV	5925212	0.0567820649689695
3188	chr9q	chr9	104350062	0	71808188	0	0	0.688147056395616	0	3129.7	9	q	NA	2	1.3762473092823	DUP	22165862	0.212418292573703
3988	chr10p	chr10	40649191	0	32237835	0	0	0.79307445503651	0	3769.75	10	p	1	4	1.21239891384863	DEL	84695	0.00208355930134009
3988	chr10p	chr10	40649191	0	32237835	0	0	0.79307445503651	0	3769.75	10	p	1	4	1.21239891384863	INS	87916	0.00216279827069621
3988	chr10p	chr10	40649191	0	32237835	0	0	0.79307445503651	0	3769.75	10	p	1	4	1.21239891384863	INV	345203	0.00849224773009628
3988	chr10q	chr10	94108943	14016442	600705	0	0.148938470172808	0.00638308093631442	0	5998.5	10	q	0	14	1.01421611878966	DEL	143525	0.00152509416666172
3988	chr10q	chr10	94108943	14016442	600705	0	0.148938470172808	0.00638308093631442	0	5998.5	10	q	0	14	1.01421611878966	INS	175885	0.0018689509667535
3988	chr10q	chr10	94108943	14016442	600705	0	0.148938470172808	0.00638308093631442	0	5998.5	10	q	0	14	1.01421611878966	INV	85996	0.000913792008056025
3988	chr10q	chr10	94108943	14016442	600705	0	0.148938470172808	0.00638308093631442	0	5998.5	10	q	0	14	1.01421611878966	DUP	716	7.60820361142511e-06
3988	chr11p	chr11	52743313	0	0	47444980	0	0	0.899544933781463	3587	11	p	-1	6	0.743225694379821	INS	137559	0.00260808417552382
3988	chr11p	chr11	52743313	0	0	47444980	0	0	0.899544933781463	3587	11	p	-1	6	0.743225694379821	DEL	88086	0.00167008849064904
3988	chr11p	chr11	52743313	0	0	47444980	0	0	0.899544933781463	3587	11	p	-1	6	0.743225694379821	DUP	2238	4.24319192842513e-05
3988	chr11p	chr11	52743313	0	0	47444980	0	0	0.899544933781463	3587	11	p	-1	6	0.743225694379821	INV	74304032	1.40878583034782
3988	chr11q	chr11	82384456	14413608	0	0	0.174955430912841	0	0	5008.33333333333	11	q	0	5	0.987477001466965	INS	170709	0.00207210204798828
3988	chr11q	chr11	82384456	14413608	0	0	0.174955430912841	0	0	5008.33333333333	11	q	0	5	0.987477001466965	DEL	108583	0.00131800348356976
3988	chr11q	chr11	82384456	14413608	0	0	0.174955430912841	0	0	5008.33333333333	11	q	0	5	0.987477001466965	INV	2007	2.43613916683506e-05
3988	chr12p	chr12	35911664	0	33431234	0	0	0.930929683458834	0	8105	12	p	1	3	1.46445047948054	DEL	149037	0.00415010009004317
3988	chr12p	chr12	35911664	0	33431234	0	0	0.930929683458834	0	8105	12	p	1	3	1.46445047948054	INS	102139	0.00284417341396377
3988	chr12p	chr12	35911664	0	33431234	0	0	0.930929683458834	0	8105	12	p	1	3	1.46445047948054	INV	199030285	5.5422184001276
3988	chr12q	chr12	97412884	13612716	0	400374	0.139742459529275	0	0.00411007233909634	4392.5	12	q	0	4	1.02224485537152	INS	189148	0.00194171440402072
3988	chr12q	chr12	97412884	13612716	0	400374	0.139742459529275	0	0.00411007233909634	4392.5	12	q	0	4	1.02224485537152	DEL	124940	0.00128258188105795
3988	chr12q	chr12	97412884	13612716	0	400374	0.139742459529275	0	0.00411007233909634	4392.5	12	q	0	4	1.02224485537152	INV	768	7.8839673815632e-06
3988	chr14q	chr14	89761231	12820442	400640	0	0.142828277388486	0.00446339689793247	0	5690.33333333333	14	q	0	13	1.02776061621464	DEL	84762	0.000944305231286322
3988	chr14q	chr14	89761231	12820442	400640	0	0.142828277388486	0.00446339689793247	0	5690.33333333333	14	q	0	13	1.02776061621464	INS	150637	0.00167819668159408
3988	chr14q	chr14	89761231	12820442	400640	0	0.142828277388486	0.00446339689793247	0	5690.33333333333	14	q	0	13	1.02776061621464	INV	77	8.57831372655752e-07
3988	chr15q	chr15	82566565	2604004	2003080	0	0.0315382382687229	0.024260183283633	0	4054	15	q	0	7	0.977520884544019	INS	172840	0.00209334129377915
3988	chr15q	chr15	82566565	2604004	2003080	0	0.0315382382687229	0.024260183283633	0	4054	15	q	0	7	0.977520884544019	DEL	147866	0.00179087019061529
3988	chr16p	chr16	36838903	7610320	0	0	0.206583784538861	0	0	6043.5	16	p	0	NA	NA	INS	107641	0.00292193825641334
3988	chr16p	chr16	36838903	7610320	0	0	0.206583784538861	0	0	6043.5	16	p	0	NA	NA	DEL	84012	0.00228052393416818
3988	chr16p	chr16	36838903	7610320	0	0	0.206583784538861	0	0	6043.5	16	p	0	NA	NA	INV	1272294	0.0345366961660069
3988	chr16p	chr16	36838903	7610320	0	0	0.206583784538861	0	0	6043.5	16	p	0	NA	NA	DUP	4107	0.000111485404437803
3988	chr16q	chr16	59491471	10013550	0	0	0.168319085604725	0	0	7737.4	16	q	0	4	0.961132454351019	INS	95724	0.00160903736940712
3988	chr16q	chr16	59491471	10013550	0	0	0.168319085604725	0	0	7737.4	16	q	0	4	0.961132454351019	DEL	95941	0.00161268495109156
3988	chr16q	chr16	59491471	10013550	0	0	0.168319085604725	0	0	7737.4	16	q	0	4	0.961132454351019	DUP	1140	1.91624106924504e-05
3988	chr17p	chr17	25689679	36433306	0	0	1.418207911434	0	0	4594	17	p	0	NA	NA	DEL	49132	0.00191251903147564
3988	chr17p	chr17	25689679	36433306	0	0	1.418207911434	0	0	4594	17	p	0	NA	NA	INS	81573	0.00317532188705044
3988	chr17p	chr17	25689679	36433306	0	0	1.418207911434	0	0	4594	17	p	0	NA	NA	INV	460773	0.017936113565296
3988	chr17q	chr17	58587218	17616057	0	0	0.300680892545538	0	0	6067	17	q	0	NA	NA	DEL	77780	0.00132759333273002
3988	chr17q	chr17	58587218	17616057	0	0	0.300680892545538	0	0	6067	17	q	0	NA	NA	INS	148307	0.00253138833115442
3988	chr17q	chr17	58587218	17616057	0	0	0.300680892545538	0	0	6067	17	q	0	NA	NA	DUP	276602	0.00472120045024155
3988	chr19p	chr19	27792923	12822336	0	6411168	0.461352553669868	0	0.230676276834934	2050.75	19	p	NA	2	0.848421341902396	INS	128189	0.00461228925075639
3988	chr19p	chr19	27792923	12822336	0	6411168	0.461352553669868	0	0.230676276834934	2050.75	19	p	NA	2	0.848421341902396	DEL	69572	0.00250322717045631
3988	chr19p	chr19	27792923	12822336	0	6411168	0.461352553669868	0	0.230676276834934	2050.75	19	p	NA	2	0.848421341902396	DUP	1344	4.83576340638946e-05
3988	chr19p	chr19	27792923	12822336	0	6411168	0.461352553669868	0	0.230676276834934	2050.75	19	p	NA	2	0.848421341902396	INV	707	2.54381304190279e-05
3988	chr19q	chr19	33914441	13623664	0	9416356	0.401706871712849	0	0.277650337801528	7326.5	19	q	NA	3	0.782028605509349	INS	72892	0.00214929091710519
3988	chr19q	chr19	33914441	13623664	0	9416356	0.401706871712849	0	0.277650337801528	7326.5	19	q	NA	3	0.782028605509349	DEL	61915	0.0018256234858773
3988	chr19q	chr19	33914441	13623664	0	9416356	0.401706871712849	0	0.277650337801528	7326.5	19	q	NA	3	0.782028605509349	INV	280187	0.00826158390757495
3988	chr1p	chr1	124048267	53040015	0	1601208	0.4275756226405	0	0.0129079433249962	2347.5	1	p	0	9	0.999381205124637	INS	257607	0.00207666746364139
3988	chr1p	chr1	124048267	53040015	0	1601208	0.4275756226405	0	0.0129079433249962	2347.5	1	p	0	9	0.999381205124637	DEL	256730	0.00206959763492706
3988	chr1p	chr1	124048267	53040015	0	1601208	0.4275756226405	0	0.0129079433249962	2347.5	1	p	0	9	0.999381205124637	INV	1013050	0.00816657922355336
3988	chr1q	chr1	124339061	21416157	0	20615520	0.172239976944976	0	0.16580083389885	5083	1	q	0	5	1.00374722233483	DEL	194912	0.0015675846225025
3988	chr1q	chr1	124339061	21416157	0	20615520	0.172239976944976	0	0.16580083389885	5083	1	q	0	5	1.00374722233483	INS	176145	0.00141665055681899
3988	chr1q	chr1	124339061	21416157	0	20615520	0.172239976944976	0	0.16580083389885	5083	1	q	0	5	1.00374722233483	INV	65827602	0.529420131297276
3988	chr20q	chr20	38197502	2800430	0	0	0.0733144800934888	0	0	7025.5	20	q	NA	NA	NA	DEL	120949	0.00316641124856803
3988	chr20q	chr20	38197502	2800430	0	0	0.0733144800934888	0	0	7025.5	20	q	NA	NA	NA	INS	135061	0.00353585949154476
3988	chr20q	chr20	38197502	2800430	0	0	0.0733144800934888	0	0	7025.5	20	q	NA	NA	NA	INV	454061	0.0118871909477222
