Sample_ID	Patient_ID	Sample_Type	chrom	arm	arm_length	altered_bp	w_mean_seg	frac_altered	n_segments	ArmClass	ArmDir	ArmLabel
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr16	16p	36600000	3828336	1.0496727309060645	0.10459934426229509	15	Segmental	Gain	chr1616p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr16	16q	53754753	891067	0.8769441545562792	0.01657652487027519	18	Segmental	Gain	chr1616q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr17	17p	24000000	253430	0.9390355710058005	0.010559583333333334	11	Segmental	Gain	chr1717p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr17	17q	57195210	1176287	0.9697646171036489	0.02056618027978217	21	Segmental	Gain	chr1717q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr18	18p	17200000	998501	0.7712845307405801	0.05805238372093023	6	Segmental	Gain	chr1818p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr18	18q	60877248	398071	0.9442142665202942	0.006538912534285387	7	Segmental	Gain	chr1818q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr19	19p	26500000	467332	0.8145355309715577	0.017635169811320756	12	Segmental	Gain	chr1919p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr19	19q	32628983	814339	0.7970737043712752	0.02495753545245342	25	Segmental	Gain	chr1919q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr2	2p	93300000	2593133	0.8805882367834583	0.027793494105037512	28	Segmental	Gain	chr22p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr2	2q	149899373	5421882	1.012923797206579	0.03617014462095182	44	Segmental	Gain	chr22q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr20	20p	27500000	26612664	0.32508055847242495	0.9677332363636364	11	Aneuploid	Gain	chr2020p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr20	20q	35525520	32990352	0.3652333989453341	0.9286381170493775	13	Aneuploid	Gain	chr2020q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr21	21p	13200000	0	0	0	1	Neutral	Neutral	chr2121p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr21	21q	34929895	0	0	0	1	Neutral	Neutral	chr2121q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr22	22q	36604566	0	0	0	1	Neutral	Neutral	chr2222q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr3	3p	91000000	32865085	-0.20742710800087688	0.3611547802197802	28	Segmental	Loss	chr33p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr3	3q	107022430	25663379	-0.1932212053957119	0.23979439637092897	20	Segmental	Loss	chr33q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr4	4p	50400000	593551	0.9313352056284969	0.011776805555555556	7	Segmental	Gain	chr44p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr4	4q	140754276	3344605	0.7380958981207048	0.0237620134538577	21	Segmental	Gain	chr44q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr5	5p	48400000	2095014	0.560389118356727	0.043285413223140494	10	Segmental	Gain	chr55p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr5	5q	132515260	3449639	0.7809175855998265	0.02603201321870402	25	Segmental	Gain	chr55q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr6	6p	61000000	1130821	0.8021741516420371	0.018538049180327868	13	Segmental	Gain	chr66p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr6	6q	110115067	5179987	0.9788121246352549	0.047041582420324	17	Segmental	Gain	chr66q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr7	7p	59900000	58121950	0.28927852350442473	0.9703163606010017	7	Aneuploid	Gain	chr77p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr7	7q	99238663	97901674	0.28822181913483935	0.9865275391708975	13	Aneuploid	Gain	chr77q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr8	8p	45600000	846595	1.188963328747512	0.018565679824561403	15	Segmental	Gain	chr88p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr8	8q	100764022	1384738	1.0360574025866265	0.013742385154097958	21	Segmental	Gain	chr88q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr9	9p	49000000	412286	0.8788474681774303	0.008414	5	Segmental	Gain	chr99p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr9	9q	92213431	781877	1.0291618613157825	0.008478992610089522	19	Segmental	Gain	chr99q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr1	1p	125000000	0	0	0	1	Neutral	Neutral	chr11p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr1	1q	124250621	52838	-20.223764000000003	4.252534077877969e-4	3	Segmental	Loss	chr11q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr10	10p	40200000	37197114	-0.500279	0.925301343283582	2	Aneuploid	Loss	chr1010p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr10	10q	95334747	55796239	-0.511601	0.5852665555403425	2	Segmental	Loss	chr1010q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr11	11p	53700000	0	0	0	1	Neutral	Neutral	chr1111p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr11	11q	81306516	0	0	0	1	Neutral	Neutral	chr1111q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr12	12p	35800000	0	0	0	1	Neutral	Neutral	chr1212p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr12	12q	98051895	0	0	0	1	Neutral	Neutral	chr1212q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr13	13q	97269878	0	0	0	1	Neutral	Neutral	chr1313q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr14	14q	89749540	176141	0.32516256658018294	0.0019625838750816998	3	Segmental	Gain	chr1414q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr15	15q	83531392	0	0	0	1	Neutral	Neutral	chr1515q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr16	16p	36600000	0	0	0	1	Neutral	Neutral	chr1616p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr16	16q	53754753	0	0	0	1	Neutral	Neutral	chr1616q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr17	17p	24000000	0	0	0	1	Neutral	Neutral	chr1717p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr17	17q	57195210	5446348	-0.48933234767939915	0.09522384829079218	7	Segmental	Loss	chr1717q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr18	18p	17200000	0	0	0	1	Neutral	Neutral	chr1818p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr18	18q	60877248	0	0	0	1	Neutral	Neutral	chr1818q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr19	19p	26500000	26219593	0.29194899999999996	0.9894186037735849	1	Aneuploid	Gain	chr1919p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr19	19q	32628983	32583756	0.29194899999999996	0.9986139010216776	1	Aneuploid	Gain	chr1919q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr2	2p	93300000	0	0	0	1	Neutral	Neutral	chr22p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr2	2q	149899373	0	0	0	1	Neutral	Neutral	chr22q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr20	20p	27500000	27432650	0.29083600000000004	0.997550909090909	1	Aneuploid	Gain	chr2020p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr20	20q	35525520	35405953	0.29083600000000004	0.996634334979474	1	Aneuploid	Gain	chr2020q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr21	21p	13200000	0	0	0	1	Neutral	Neutral	chr2121p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr21	21q	34929895	0	0	0	1	Neutral	Neutral	chr2121q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr22	22q	36604566	0	0	0	1	Neutral	Neutral	chr2222q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr3	3p	91000000	20423513	-0.49733530068769266	0.2244342087912088	4	Segmental	Loss	chr33p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr3	3q	107022430	0	0	0	1	Neutral	Neutral	chr33q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr4	4p	50400000	0	0	0	1	Neutral	Neutral	chr44p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr4	4q	140754276	0	0	0	1	Neutral	Neutral	chr44q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr5	5p	48400000	48260578	0.32718	0.9971193801652892	1	Aneuploid	Gain	chr55p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr5	5q	132515260	132288814	0.32718	0.9982911703904893	1	Aneuploid	Gain	chr55q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr6	6p	61000000	0	0	0	1	Neutral	Neutral	chr66p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr6	6q	110115067	0	0	0	1	Neutral	Neutral	chr66q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr7	7p	59900000	59707801	0.337402	0.9967913355592655	1	Aneuploid	Gain	chr77p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr7	7q	99238663	99038463	0.337402	0.9979826411002736	1	Aneuploid	Gain	chr77q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr8	8p	45600000	0	0	0	1	Neutral	Neutral	chr88p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr8	8q	100764022	0	0	0	1	Neutral	Neutral	chr88q
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr9	9p	49000000	34130930	-0.498603	0.6965495918367347	2	Segmental	Loss	chr99p
GLSS-19-0266-TP	GLSS-19-0266	Primary	chr9	9q	92213431	0	0	0	1	Neutral	Neutral	chr99q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr1	1p	125000000	4889508	0.1983108352511132	0.039116064	35	Segmental	Gain	chr11p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr1	1q	124250621	3052027	1.0845222421629952	0.02456347481756248	41	Segmental	Gain	chr11q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr10	10p	40200000	2133830	0.9162300131491261	0.053080348258706465	9	Segmental	Gain	chr1010p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr10	10q	95334747	8555289	0.1487887194637142	0.08973946298929182	15	Segmental	Gain	chr1010q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr11	11p	53700000	1097438	0.9255327507166692	0.020436461824953445	17	Segmental	Gain	chr1111p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr11	11q	81306516	1753485	0.9971552161256013	0.021566352689371168	35	Segmental	Gain	chr1111q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr12	12p	35800000	2441598	1.018538890365654	0.06820106145251396	20	Segmental	Gain	chr1212p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr12	12q	98051895	8904816	0.9129308790151306	0.09081737787933625	40	Segmental	Gain	chr1212q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr13	13q	97269878	203497	1.092052419912824	0.002092086514182736	8	Segmental	Gain	chr1313q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr14	14q	89749540	478610	0.9722116193853032	0.005332729281955094	13	Segmental	Gain	chr1414q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr15	15q	83531392	2433958	0.9637454230377025	0.029138243021258402	17	Segmental	Gain	chr1515q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr16	16p	36600000	3751881	1.0837801690368112	0.10251040983606557	11	Segmental	Gain	chr1616p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr16	16q	53754753	823285	0.883817510527946	0.01531557590823643	14	Segmental	Gain	chr1616q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr17	17p	24000000	272410	0.9485283445211262	0.011350416666666667	11	Segmental	Gain	chr1717p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr17	17q	57195210	1183363	1.0045544929484864	0.020689896933676788	23	Segmental	Gain	chr1717q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr18	18p	17200000	998501	0.757354769765879	0.05805238372093023	6	Segmental	Gain	chr1818p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr18	18q	60877248	398071	0.9505839334540824	0.006538912534285387	7	Segmental	Gain	chr1818q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr19	19p	26500000	293552	0.90682971559383	0.011077433962264151	7	Segmental	Gain	chr1919p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr19	19q	32628983	1274236	0.33970078203802123	0.039052274476345156	18	Segmental	Gain	chr1919q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr2	2p	93300000	2655959	0.9026643972952897	0.028466870310825294	29	Segmental	Gain	chr22p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr2	2q	149899373	5424933	1.0005802942989344	0.036190498275132876	43	Segmental	Gain	chr22q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr20	20p	27500000	758195	1.1317947449323722	0.02757072727272727	11	Segmental	Gain	chr2020p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr20	20q	35525520	1847821	1.0366698273420423	0.052013904370717165	11	Segmental	Gain	chr2020q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr21	21p	13200000	0	0	0	1	Neutral	Neutral	chr2121p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr21	21q	34929895	0	0	0	1	Neutral	Neutral	chr2121q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr22	22q	36604566	430805	0.9315953420224928	0.011769160164335782	11	Segmental	Gain	chr2222q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr3	3p	91000000	1693188	0.9842153179233493	0.018606461538461537	19	Segmental	Gain	chr33p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr3	3q	107022430	1568623	0.9389267574273742	0.01465695555595215	20	Segmental	Gain	chr33q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr4	4p	50400000	593551	0.9553539980557694	0.011776805555555556	7	Segmental	Gain	chr44p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr4	4q	140754276	2929475	0.7167453586174997	0.02081268920029115	17	Segmental	Gain	chr44q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr5	5p	48400000	2095014	0.5704050121082722	0.043285413223140494	10	Segmental	Gain	chr55p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr5	5q	132515260	4257972	0.5164844178557304	0.03213193710671511	22	Segmental	Gain	chr55q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr6	6p	61000000	2348937	0.7539016991336932	0.03850716393442623	15	Segmental	Gain	chr66p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr6	6q	110115067	4412034	1.0583425950817695	0.040067486858996325	19	Segmental	Gain	chr66q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr7	7p	59900000	57976948	0.2277669976838553	0.9678956260434056	7	Aneuploid	Gain	chr77p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr7	7q	99238663	23091847	0.3107219098338907	0.2326900252575954	13	Segmental	Gain	chr77q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr8	8p	45600000	693384	1.1972048375575437	0.01520578947368421	13	Segmental	Gain	chr88p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr8	8q	100764022	1407601	1.0394962232102705	0.013969281615217781	21	Segmental	Gain	chr88q
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr9	9p	49000000	442882	0.6956025196463167	0.009038408163265305	5	Segmental	Gain	chr99p
GLSS-19-0267-R1	GLSS-19-0267	Recurrence	chr9	9q	92213431	960711	1.0381609330454216	0.010418341336849293	21	Segmental	Gain	chr99q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr1	1p	125000000	34997779	-0.62148	0.279982232	2	Segmental	Loss	chr11p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr1	1q	124250621	0	0	0	1	Neutral	Neutral	chr11q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr10	10p	40200000	39975048	-0.6245189999999999	0.9944041791044776	1	Aneuploid	Loss	chr1010p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr10	10q	95334747	93764173	-0.6549230995853288	0.9835256918445485	5	Aneuploid	Loss	chr1010q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr11	11p	53700000	0	0	0	1	Neutral	Neutral	chr1111p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr11	11q	81306516	0	0	0	1	Neutral	Neutral	chr1111q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr12	12p	35800000	0	0	0	1	Neutral	Neutral	chr1212p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr12	12q	98051895	0	0	0	1	Neutral	Neutral	chr1212q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr13	13q	97269878	0	0	0	1	Neutral	Neutral	chr1313q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr14	14q	89749540	216903	-0.693938	0.0024167589048367266	3	Segmental	Loss	chr1414q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr15	15q	83531392	4125911	-0.645141	0.049393538180232885	3	Segmental	Loss	chr1515q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr16	16p	36600000	0	0	0	1	Neutral	Neutral	chr1616p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr16	16q	53754753	0	0	0	1	Neutral	Neutral	chr1616q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr17	17p	24000000	0	0	0	1	Neutral	Neutral	chr1717p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr17	17q	57195210	0	0	0	1	Neutral	Neutral	chr1717q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr18	18p	17200000	0	0	0	1	Neutral	Neutral	chr1818p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr18	18q	60877248	0	0	0	1	Neutral	Neutral	chr1818q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr19	19p	26500000	0	0	0	1	Neutral	Neutral	chr1919p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr19	19q	32628983	2951	-14.735857000000001	9.044106584627538e-5	3	Segmental	Loss	chr1919q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr2	2p	93300000	0	0	0	1	Neutral	Neutral	chr22p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr2	2q	149899373	0	0	0	1	Neutral	Neutral	chr22q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr20	20p	27500000	0	0	0	1	Neutral	Neutral	chr2020p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr20	20q	35525520	0	0	0	1	Neutral	Neutral	chr2020q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr21	21p	13200000	0	0	0	1	Neutral	Neutral	chr2121p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr21	21q	34929895	0	0	0	1	Neutral	Neutral	chr2121q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr22	22q	36604566	16969934	-0.549426061044492	0.4636015627121491	5	Segmental	Loss	chr2222q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr3	3p	91000000	0	0	0	1	Neutral	Neutral	chr33p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr3	3q	107022430	21894325	-0.01806593225838196	0.2045769751256816	7	Segmental	Loss	chr33q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr4	4p	50400000	0	0	0	1	Neutral	Neutral	chr44p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr4	4q	140754276	5179497	0.654147	0.036798150274312096	2	Segmental	Gain	chr44q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr5	5p	48400000	0	0	0	1	Neutral	Neutral	chr55p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr5	5q	132515260	0	0	0	1	Neutral	Neutral	chr55q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr6	6p	61000000	0	0	0	1	Neutral	Neutral	chr66p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr6	6q	110115067	0	0	0	1	Neutral	Neutral	chr66q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr7	7p	59900000	59707801	0.461012	0.9967913355592655	1	Aneuploid	Gain	chr77p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr7	7q	99238663	99038463	0.461012	0.9979826411002736	1	Aneuploid	Gain	chr77q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr8	8p	45600000	0	0	0	1	Neutral	Neutral	chr88p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr8	8q	100764022	3182669	-0.602298	0.03158537081816762	3	Segmental	Loss	chr88q
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr9	9p	49000000	36973104	-0.6280603556186141	0.7545531428571428	3	Segmental	Loss	chr99p
GLSS-19-0267-TP	GLSS-19-0267	Primary	chr9	9q	92213431	69938443	-0.218442	0.75844095856275	1	Segmental	Loss	chr99q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr1	1p	125000000	0	0	0	1	Neutral	Neutral	chr11p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr1	1q	124250621	25218840	-0.34419099999999997	0.2029675167579243	3	Segmental	Loss	chr11q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr10	10p	40200000	39975048	-0.626804	0.9944041791044776	1	Aneuploid	Loss	chr1010p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr10	10q	95334747	95118201	-0.6298257876861444	0.9977285721437956	7	Aneuploid	Loss	chr1010q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr11	11p	53700000	0	0	0	1	Neutral	Neutral	chr1111p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr11	11q	81306516	0	0	0	1	Neutral	Neutral	chr1111q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr12	12p	35800000	0	0	0	1	Neutral	Neutral	chr1212p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr12	12q	98051895	0	0	0	1	Neutral	Neutral	chr1212q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr13	13q	97269878	0	0	0	1	Neutral	Neutral	chr1313q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr14	14q	89749540	85623991	-0.6303922189251374	0.9540326446241396	18	Aneuploid	Loss	chr1414q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr15	15q	83531392	0	0	0	1	Neutral	Neutral	chr1515q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr16	16p	36600000	16998	0.210466	4.644262295081967e-4	3	Segmental	Gain	chr1616p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr16	16q	53754753	0	0	0	1	Neutral	Neutral	chr1616q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr17	17p	24000000	0	0	0	1	Neutral	Neutral	chr1717p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr17	17q	57195210	0	0	0	1	Neutral	Neutral	chr1717q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr18	18p	17200000	0	0	0	1	Neutral	Neutral	chr1818p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr18	18q	60877248	0	0	0	1	Neutral	Neutral	chr1818q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr19	19p	26500000	0	0	0	1	Neutral	Neutral	chr1919p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr19	19q	32628983	0	0	0	1	Neutral	Neutral	chr1919q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr2	2p	93300000	0	0	0	1	Neutral	Neutral	chr22p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr2	2q	149899373	0	0	0	1	Neutral	Neutral	chr22q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr20	20p	27500000	0	0	0	1	Neutral	Neutral	chr2020p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr20	20q	35525520	0	0	0	1	Neutral	Neutral	chr2020q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr21	21p	13200000	0	0	0	1	Neutral	Neutral	chr2121p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr21	21q	34929895	0	0	0	1	Neutral	Neutral	chr2121q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr22	22q	36604566	0	0	0	1	Neutral	Neutral	chr2222q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr3	3p	91000000	0	0	0	1	Neutral	Neutral	chr33p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr3	3q	107022430	0	0	0	1	Neutral	Neutral	chr33q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr4	4p	50400000	0	0	0	1	Neutral	Neutral	chr44p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr4	4q	140754276	0	0	0	1	Neutral	Neutral	chr44q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr5	5p	48400000	0	0	0	1	Neutral	Neutral	chr55p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr5	5q	132515260	0	0	0	1	Neutral	Neutral	chr55q
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr6	6p	61000000	62166	-0.305481	0.0010191147540983606	3	Segmental	Loss	chr66p
GLSS-19-0269-R1	GLSS-19-0269	Recurrence	chr6	6q	110115067	7047731	-0.6395376143622679	0.06400333026178878	3	Segmental	Loss	chr66q
