filename	chr	Arm	arm_size.y	type	sv_count	sv_size_sum	chr_arm_length_mb	sv_rate	sv_proportion	region
2436A	chr12	p	35911664	DEL	1	0.000227	35.911664	0.0278461059337156	6.32106604695343e-06	chr12p
2436A	chr12	p	35911664	INS	1	1e-06	35.911664	0.0278461059337156	2.78461059337156e-08	chr12p
2436A	chr12	q	97412884	DEL	1	0.014367	97.412884	0.0102655825280771	0.000147485624180883	chr12q
2436A	chr12	q	97412884	INS	4	4e-06	97.412884	0.0410623301123083	4.10623301123083e-08	chr12q
2436A	chr13	p	16522942	INS	1	1e-06	16.522942	0.0605219094759275	6.05219094759275e-08	chr13p
2436A	chr13	q	97043744	DEL	2	0.004917	97.043744	0.0206092625610158	5.06678720062573e-05	chr13q
2436A	chr14	p	11400261	DEL	1	0.000649	11.400261	0.0877172899813434	5.69285211978919e-05	chr14p
2436A	chr14	p	11400261	INS	1	1e-06	11.400261	0.0877172899813434	8.77172899813434e-08	chr14p
2436A	chr14	q	89761231	DEL	2	0.000302	89.761231	0.0222813343546948	3.36448148755892e-06	chr14q
2436A	chr14	q	89761231	INS	3	3e-06	89.761231	0.0334220015320423	3.34220015320423e-08	chr14q
2436A	chr15	q	82566565	DEL	2	0.005549	82.566565	0.0242228800483586	6.72063806941708e-05	chr15q
2436A	chr15	q	82566565	INS	1	1e-06	82.566565	0.0121114400241793	1.21114400241793e-08	chr15q
2436A	chr16	p	36838903	DEL	4	0.028985	36.838903	0.108580866265209	0.000786804102174269	chr16p
2436A	chr16	p	36838903	INS	3	3e-06	36.838903	0.0814356496989066	8.14356496989066e-08	chr16p
2436A	chr16	q	59491471	DEL	7	0.03361	59.491471	0.11766392530452	0.000564954932783558	chr16q
2436A	chr16	q	59491471	INV	1	0.000431	59.491471	0.01680913218636	7.24473597232114e-06	chr16q
2436A	chr17	p	25689679	DEL	3	0.016897	25.689679	0.116778415175993	0.000657734960409587	chr17p
2436A	chr17	q	58587218	DEL	3	0.000953	58.587218	0.0512057083850611	1.62663466969877e-05	chr17q
2436A	chr17	q	58587218	DUP	1	0.003789	58.587218	0.017068569461687	6.46728096903321e-05	chr17q
2436A	chr17	q	58587218	INS	1	1e-06	58.587218	0.017068569461687	1.7068569461687e-08	chr17q
2436A	chr18	q	62092914	DEL	2	0.004396	62.092914	0.0322097945024774	7.07971283164452e-05	chr18q
2436A	chr18	q	62092914	INS	1	1e-06	62.092914	0.0161048972512387	1.61048972512387e-08	chr18q
2436A	chr19	p	27792923	DEL	1	6.7e-05	27.792923	0.0359803824880168	2.41068562669713e-06	chr19p
2436A	chr19	p	27792923	DUP	2	0.666915	27.792923	0.0719607649760337	0.0239958567869957	chr19p
2436A	chr19	p	27792923	INS	2	2e-06	27.792923	0.0719607649760337	7.19607649760337e-08	chr19p
2436A	chr19	q	33914441	DEL	2	0.000227	33.914441	0.0589719288016571	6.69331391898808e-06	chr19q
2436A	chr19	q	33914441	INS	1	1e-06	33.914441	0.0294859644008285	2.94859644008285e-08	chr19q
2436A	chr2	p	93503283	DEL	2	0.023165	93.503283	0.0213896232926923	0.000247745311787609	chr2p
2436A	chr2	p	93503283	DUP	1	0.013584	93.503283	0.0106948116463462	0.000145278321403966	chr2p
2436A	chr2	p	93503283	INS	1	1e-06	93.503283	0.0106948116463462	1.06948116463462e-08	chr2p
2436A	chr2	q	149193469	DEL	3	0.014373	149.193469	0.0201081188078012	9.63379972081754e-05	chr2q
2436A	chr2	q	149193469	DUP	1	0.00029	149.193469	0.00670270626926705	1.94378481808745e-06	chr2q
2436A	chr2	q	149193469	INS	4	4e-06	149.193469	0.0268108250770682	2.68108250770682e-08	chr2q
2436A	chr20	p	28012753	INV	1	0.000618	28.012753	0.0356980265381271	2.20613804005626e-05	chr20p
2436A	chr20	q	38197502	DEL	2	0.00417	38.197502	0.0523594448663161	0.000109169442546269	chr20q
2436A	chr20	q	38197502	INS	1	1e-06	38.197502	0.0261797224331581	2.61797224331581e-08	chr20q
2436A	chr21	q	33956153	DEL	1	0.001862	33.956153	0.0294497436149496	5.48354226110361e-05	chr21q
2436A	chr22	p	14249622	DUP	1	0.009851	14.249622	0.070177300141716	0.000691316583696045	chr22p
2436A	chr22	q	37075304	DEL	2	0.00167	37.075304	0.0539442643545148	4.50434607360199e-05	chr22q
2436A	chr22	q	37075304	INS	2	2e-06	37.075304	0.0539442643545148	5.39442643545148e-08	chr22q
2436A	chr3	p	94076514	DEL	2	0.030786	94.076514	0.0212592911340231	0.000327244268426018	chr3p
2436A	chr3	p	94076514	DUP	1	0.002623	94.076514	0.0106296455670115	2.78815603222713e-05	chr3p
2436A	chr3	p	94076514	INS	1	1e-06	94.076514	0.0106296455670115	1.06296455670115e-08	chr3p
2436A	chr3	q	107029434	DEL	8	0.152849	107.029434	0.0747457937598736	0.00142810247880036	chr3q
2436A	chr3	q	107029434	DUP	1	0.004755	107.029434	0.0093432242199842	4.44270311660249e-05	chr3q
2436A	chr3	q	107029434	INS	2	2e-06	107.029434	0.0186864484399684	1.86864484399684e-08	chr3q
2436A	chr4	q	141122471	DEL	7	0.023752	141.122471	0.049602306070732	0.000168307710541718	chr4q
2436A	chr4	q	141122471	DUP	2	0.008293	141.122471	0.0141720874487806	5.87645606063686e-05	chr4q
2436A	chr4	q	141122471	INS	2	2e-06	141.122471	0.0141720874487806	1.41720874487806e-08	chr4q
2436A	chr4	q	141122471	INV	1	0.004611	141.122471	0.00708604372439029	3.26737476131636e-05	chr4q
2436A	chr5	p	48317879	DEL	3	0.0157	48.317879	0.0620888180956784	0.000324931481367384	chr5p
2436A	chr5	p	48317879	DUP	1	0.000212	48.317879	0.0206962726985595	4.38760981209461e-06	chr5p
2436A	chr5	p	48317879	INS	2	2e-06	48.317879	0.0413925453971189	4.13925453971189e-08	chr5p
2436A	chr5	q	133727560	DEL	3	0.009181	133.72756	0.0224336703668264	6.86545092126111e-05	chr5q
2436A	chr5	q	133727560	INS	4	4e-06	133.72756	0.0299115604891019	2.99115604891019e-08	chr5q
2436A	chr6	p	59672548	DEL	7	0.038672	59.672548	0.117306872835395	0.000648070198041485	chr6p
2436A	chr6	q	112454080	DEL	11	0.312787	112.45408	0.0978177047911468	0.00278146422077349	chr6q
2436A	chr6	q	112454080	DUP	2	0.019167	112.45408	0.017785037234754	0.000170442904339265	chr6q
2436A	chr6	q	112454080	INS	2	2e-06	112.45408	0.017785037234754	1.7785037234754e-08	chr6q
2436A	chr7	p	62064435	DEL	4	0.256309	62.064435	0.0644491486952229	0.00412972421323097	chr7p
2436A	chr7	p	62064435	DUP	1	0.00025	62.064435	0.0161122871738057	4.02807179345143e-06	chr7p
2436A	chr7	p	62064435	INS	3	3e-06	62.064435	0.0483368615214172	4.83368615214172e-08	chr7p
2436A	chr7	p	62064435	INV	1	0.001094	62.064435	0.0161122871738057	1.76268421681435e-05	chr7p
2436A	chr7	q	98502993	DEL	4	0.039386	98.502993	0.0406079031527499	0.000399845718393552	chr7q
2436A	chr7	q	98502993	DUP	2	0.096803	98.502993	0.0203039515763749	0.000982741712223912	chr7q
2436A	chr7	q	98502993	INS	1	1e-06	98.502993	0.0101519757881875	1.01519757881875e-08	chr7q
2436A	chr8	p	45270456	DEL	5	0.348187	45.270456	0.110447308063343	0.00769126337053022	chr8p
2436A	chr8	p	45270456	INS	1	1e-06	45.270456	0.0220894616126685	2.20894616126685e-08	chr8p
2436A	chr8	q	100988875	DEL	3	0.014262	100.988875	0.0297062423955114	0.000141223476348261	chr8q
2436A	chr8	q	100988875	INS	3	3e-06	100.988875	0.0297062423955114	2.97062423955114e-08	chr8q
2436A	chr8	q	100988875	INV	2	0.008371	100.988875	0.0198041615970076	8.28903183642753e-05	chr8q
2436A	chr9	p	46267185	DEL	2	0.031917	46.267185	0.0432271814245885	0.000689840974764296	chr9p
2436A	chr9	p	46267185	INS	3	3e-06	46.267185	0.0648407721368828	6.48407721368828e-08	chr9p
2436A	chr9	q	104350062	DEL	2	0.009613	104.350062	0.0191662559817166	9.21226093761209e-05	chr9q
2436A	chr9	q	104350062	DUP	2	0.011425	104.350062	0.0191662559817166	0.000109487237295556	chr9q
2436A	chr9	q	104350062	INS	2	2e-06	104.350062	0.0191662559817166	1.91662559817166e-08	chr9q
2436A	chrX	p	59373565	DEL	1	0.000295	59.373565	0.0168425123200872	4.96854113442573e-06	chrXp
2436A	chrX	p	59373565	DUP	2	0.666744	59.373565	0.0336850246401745	0.0112296440343442	chrXp
2436A	chrX	p	59373565	INS	4	4e-06	59.373565	0.0673700492803489	6.73700492803489e-08	chrXp
2436A	chrX	q	94886001	DEL	2	0.000181	94.886001	0.0210779248669148	1.90755220045579e-06	chrXq
2436A	chrY	p	10724418	DEL	38	0.013428	10.724418	3.54331582375845	0.00125209591793233	chrYp
2436A	chrY	p	10724418	INS	28	2.8e-05	10.724418	2.61086429119044	2.61086429119044e-06	chrYp
2436A	chrY	q	51735611	DEL	4	0.035603	51.735611	0.0773161836244671	0.000688172021395476	chrYq
3188	chr1	p	124048267	DEL	3	0.00479	124.048267	0.0241841347126599	3.86140017578803e-05	chr1p
3188	chr1	p	124048267	INS	2	2e-06	124.048267	0.0161227564751066	1.61227564751066e-08	chr1p
3188	chr1	q	124339061	DEL	4	0.056101	124.339061	0.0321700997886738	0.000451193692061097	chr1q
3188	chr1	q	124339061	DUP	1	0.006393	124.339061	0.00804252494716845	5.14158619872479e-05	chr1q
3188	chr1	q	124339061	INS	1	1e-06	124.339061	0.00804252494716845	8.04252494716845e-09	chr1q
3188	chr10	p	40649191	DEL	4	0.040349	40.649191	0.0984029423857414	0.000992615080580571	chr10p
3188	chr10	p	40649191	DUP	1	0.004431	40.649191	0.0246007355964354	0.000109005859427805	chr10p
3188	chr10	p	40649191	INS	3	3e-06	40.649191	0.0738022067893061	7.38022067893061e-08	chr10p
3188	chr10	q	94108943	DEL	5	0.012671	94.108943	0.0531299134876055	0.00013464182676029	chr10q
3188	chr11	p	52743313	DEL	3	0.059575	52.743313	0.05687924837031	0.00112952707388707	chr11p
3188	chr11	p	52743313	DUP	1	1.463048	52.743313	0.01895974945677	0.0277390235232284	chr11p
3188	chr11	q	82384456	DEL	3	0.036913	82.384456	0.0364146362755615	0.000448057822946601	chr11q
3188	chr11	q	82384456	DUP	2	0.039097	82.384456	0.0242764241837077	0.000474567678155209	chr11q
3188	chr11	q	82384456	INS	1	1e-06	82.384456	0.0121382120918538	1.21382120918538e-08	chr11q
3188	chr12	p	35911664	DEL	3	0.036195	35.911664	0.0835383178011467	0.00100788980427084	chr12p
3188	chr12	p	35911664	INS	2	2e-06	35.911664	0.0556922118674311	5.56922118674311e-08	chr12p
3188	chr12	q	97412884	DEL	2	0.003183	97.412884	0.0205311650561542	3.26753491868694e-05	chr12q
3188	chr12	q	97412884	DUP	1	0.050117	97.412884	0.0102655825280771	0.000514480199559639	chr12q
3188	chr12	q	97412884	INS	1	1e-06	97.412884	0.0102655825280771	1.02655825280771e-08	chr12q
3188	chr13	p	16522942	DEL	1	0.000948	16.522942	0.0605219094759275	5.73747701831792e-05	chr13p
3188	chr13	q	97043744	DEL	5	0.087002	97.043744	0.0515231564025395	0.000896523530666748	chr13q
3188	chr13	q	97043744	DUP	2	0.243186	97.043744	0.0206092625610158	0.00250594206258159	chr13q
3188	chr13	q	97043744	INS	3	3e-06	97.043744	0.0309138938415237	3.09138938415237e-08	chr13q
3188	chr14	q	89761231	DEL	5	11.741775	89.761231	0.0557033358867371	0.130811207346299	chr14q
3188	chr14	q	89761231	DUP	7	266.059676	89.761231	0.077984670241432	2.96408229962889	chr14q
3188	chr14	q	89761231	INS	2	2e-06	89.761231	0.0222813343546948	2.22813343546948e-08	chr14q
3188	chr15	q	82566565	DEL	2	0.005549	82.566565	0.0242228800483586	6.72063806941708e-05	chr15q
3188	chr15	q	82566565	DUP	1	0.536071	82.566565	0.0121114400241793	0.00649259176520181	chr15q
3188	chr16	p	36838903	DEL	2	0.006629	36.838903	0.0542904331326044	0.000179945640618017	chr16p
3188	chr16	p	36838903	INS	1	1e-06	36.838903	0.0271452165663022	2.71452165663022e-08	chr16p
3188	chr16	q	59491471	DEL	3	0.021775	59.491471	0.0504273965590799	0.000366018853357988	chr16q
3188	chr16	q	59491471	INS	1	1e-06	59.491471	0.01680913218636	1.680913218636e-08	chr16q
3188	chr16	q	59491471	INV	1	0.000662	59.491471	0.01680913218636	1.11276455073703e-05	chr16q
3188	chr17	p	25689679	INS	1	1e-06	25.689679	0.0389261383919978	3.89261383919978e-08	chr17p
3188	chr17	q	58587218	DEL	4	0.013356	58.587218	0.0682742778467481	0.000227967813730292	chr17q
3188	chr17	q	58587218	INS	2	2e-06	58.587218	0.034137138923374	3.4137138923374e-08	chr17q
3188	chr18	p	18449624	INS	1	1e-06	18.449624	0.0542016466026625	5.42016466026625e-08	chr18p
3188	chr18	q	62092914	DEL	2	0.000711	62.092914	0.0322097945024774	1.14505819456307e-05	chr18q
3188	chr18	q	62092914	INS	1	1e-06	62.092914	0.0161048972512387	1.61048972512387e-08	chr18q
3188	chr19	p	27792923	DEL	1	0.000523	27.792923	0.0359803824880168	1.88177400412328e-05	chr19p
3188	chr19	p	27792923	DUP	1	0.001469	27.792923	0.0359803824880168	5.28551818748967e-05	chr19p
3188	chr19	p	27792923	INS	3	3e-06	27.792923	0.10794114746405	1.0794114746405e-07	chr19p
3188	chr19	q	33914441	DEL	2	0.000402	33.914441	0.0589719288016571	1.18533576891331e-05	chr19q
3188	chr19	q	33914441	DUP	1	0.005876	33.914441	0.0294859644008285	0.000173259526819269	chr19q
3188	chr2	p	93503283	DEL	6	0.092752	93.503283	0.0641688698780769	0.000991965169821898	chr2p
3188	chr2	p	93503283	DUP	1	0.167353	93.503283	0.0106948116463462	0.00178980881345097	chr2p
3188	chr2	p	93503283	INS	1	1e-06	93.503283	0.0106948116463462	1.06948116463462e-08	chr2p
3188	chr2	q	149193469	DEL	13	0.070224	149.193469	0.0871351815004717	0.00047069084505301	chr2q
3188	chr2	q	149193469	INS	4	4e-06	149.193469	0.0268108250770682	2.68108250770682e-08	chr2q
3188	chr20	p	28012753	DUP	1	0.000121	28.012753	0.0356980265381271	4.31946121111338e-06	chr20p
3188	chr20	p	28012753	INS	1	1e-06	28.012753	0.0356980265381271	3.56980265381271e-08	chr20p
3188	chr20	p	28012753	INV	1	0.000618	28.012753	0.0356980265381271	2.20613804005626e-05	chr20p
3188	chr20	q	38197502	DEL	3	0.016042	38.197502	0.0785391672994742	0.000419975107272722	chr20q
3188	chr20	q	38197502	INS	1	1e-06	38.197502	0.0261797224331581	2.61797224331581e-08	chr20q
3188	chr22	p	14249622	DEL	1	0.016803	14.249622	0.070177300141716	0.00117918917428125	chr22p
3188	chr22	q	37075304	DEL	2	0.000728	37.075304	0.0539442643545148	1.96357122250434e-05	chr22q
3188	chr22	q	37075304	DUP	3	0.617608	37.075304	0.0809163965317722	0.0166582046097316	chr22q
3188	chr22	q	37075304	INS	1	1e-06	37.075304	0.0269721321772574	2.69721321772574e-08	chr22q
3188	chr3	p	94076514	DEL	5	0.032679	94.076514	0.0531482278350577	0.00034736618748437	chr3p
3188	chr3	p	94076514	INV	1	0.000423	94.076514	0.0106296455670115	4.49634007484589e-06	chr3p
3188	chr3	q	107029434	DEL	9	0.04959	107.029434	0.0840890179798578	0.000463330489069016	chr3q
3188	chr3	q	107029434	INS	1	1e-06	107.029434	0.0093432242199842	9.34322421998420e-09	chr3q
3188	chr4	p	52452474	DEL	1	0.022401	52.452474	0.0190648776643024	0.000427072324558037	chr4p
3188	chr4	p	52452474	INS	2	2e-06	52.452474	0.0381297553286047	3.81297553286047e-08	chr4p
3188	chr4	q	141122471	DEL	10	0.031288	141.122471	0.0708604372439029	0.000221708136048723	chr4q
3188	chr4	q	141122471	DUP	2	0.006905	141.122471	0.0141720874487806	4.89291319169149e-05	chr4q
3188	chr4	q	141122471	INS	5	5e-06	141.122471	0.0354302186219514	3.54302186219514e-08	chr4q
3188	chr5	p	48317879	DEL	4	20.569825	48.317879	0.0827850907942379	0.425718707561646	chr5p
3188	chr5	p	48317879	DUP	6	33.725817	48.317879	0.124177636191357	0.697998705613713	chr5p
3188	chr5	p	48317879	INS	2	2e-06	48.317879	0.0413925453971189	4.13925453971189e-08	chr5p
3188	chr5	q	133727560	DEL	8	88.417242	133.72756	0.0598231209782037	0.66117442059064	chr5q
3188	chr5	q	133727560	DUP	4	125.768522	133.72756	0.0299115604891019	0.940483188356985	chr5q
3188	chr5	q	133727560	INS	3	3e-06	133.72756	0.0224336703668264	2.24336703668264e-08	chr5q
3188	chr6	p	59672548	DEL	14	0.026803	59.672548	0.23461374567079	0.000449168016086727	chr6p
3188	chr6	p	59672548	INS	15	1.5e-05	59.672548	0.251371870361561	2.51371870361561e-07	chr6p
3188	chr6	q	112454080	DEL	5	0.018827	112.45408	0.0444625930868849	0.000167419448009356	chr6q
3188	chr6	q	112454080	INS	1	1e-06	112.45408	0.00889251861737698	8.89251861737698e-09	chr6q
3188	chr7	p	62064435	DEL	3	0.025449	62.064435	0.0483368615214172	0.000410041596286182	chr7p
3188	chr7	p	62064435	DUP	1	0.00025	62.064435	0.0161122871738057	4.02807179345143e-06	chr7p
3188	chr7	p	62064435	INS	3	3e-06	62.064435	0.0483368615214172	4.83368615214172e-08	chr7p
3188	chr7	q	98502993	DEL	8	0.052772	98.502993	0.0812158063054998	0.000535740066294229	chr7q
3188	chr7	q	98502993	DUP	1	0.096571	98.502993	0.0101519757881875	0.000980386453841052	chr7q
3188	chr7	q	98502993	INS	1	1e-06	98.502993	0.0101519757881875	1.01519757881875e-08	chr7q
3188	chr8	p	45270456	DEL	2	0.015848	45.270456	0.0441789232253371	0.000350073787637571	chr8p
3188	chr8	p	45270456	INS	1	1e-06	45.270456	0.0220894616126685	2.20894616126685e-08	chr8p
3188	chr8	q	100988875	DEL	3	0.002649	100.988875	0.0297062423955114	2.62306120352366e-05	chr8q
3188	chr8	q	100988875	INS	2	2e-06	100.988875	0.0198041615970076	1.98041615970076e-08	chr8q
3188	chr8	q	100988875	INV	1	0.000887	100.988875	0.0099020807985038	8.78314566827287e-06	chr8q
3188	chr9	p	46267185	DEL	1	0.004313	46.267185	0.0216135907122943	9.32194167421251e-05	chr9p
3188	chr9	p	46267185	DUP	2	0.40756	46.267185	0.0432271814245885	0.00880883503070265	chr9p
3188	chr9	q	104350062	DEL	2	0.003277	104.350062	0.0191662559817166	3.14039104260427e-05	chr9q
3188	chr9	q	104350062	DUP	2	0.192553	104.350062	0.0191662559817166	0.00184526004402374	chr9q
3188	chr9	q	104350062	INS	3	3e-06	104.350062	0.0287493839725749	2.87493839725749e-08	chr9q
3188	chrX	p	59373565	DEL	1	0.001804	59.373565	0.0168425123200872	3.03838922254374e-05	chrXp
3188	chrX	p	59373565	INV	1	0.001341	59.373565	0.0168425123200872	2.2585809021237e-05	chrXp
3188	chrX	q	94886001	DEL	4	0.003965	94.886001	0.0421558497338295	4.17869860486585e-05	chrXq
3188	chrX	q	94886001	DUP	1	0.143518	94.886001	0.0105389624334574	0.00151253081052494	chrXq
3188	chrX	q	94886001	INS	1	1e-06	94.886001	0.0105389624334574	1.05389624334574e-08	chrXq
3188	chrY	p	10724418	DEL	26	0.006018	10.724418	2.42437398467684	0.000561149332299431	chrYp
3188	chrY	p	10724418	INS	25	2.5e-05	10.724418	2.33112883142004	2.33112883142004e-06	chrYp
3188	chrY	q	51735611	DEL	1	0.716638	51.735611	0.0193290459061168	0.0138519288000677	chrYq
3988	chr1	p	124048267	DEL	9	0.056217	124.048267	0.0725524041379796	0.000453186500380533	chr1p
3988	chr1	p	124048267	INS	3	3e-06	124.048267	0.0241841347126599	2.41841347126599e-08	chr1p
3988	chr1	p	124048267	INV	1	0.000834	124.048267	0.00806137823755329	6.72318945011944e-06	chr1p
3988	chr1	q	124339061	DEL	1	0.032202	124.339061	0.00804252494716845	0.000258985388348719	chr1q
3988	chr1	q	124339061	DUP	1	0.006393	124.339061	0.00804252494716845	5.14158619872479e-05	chr1q
3988	chr1	q	124339061	INS	2	2e-06	124.339061	0.0160850498943369	1.60850498943369e-08	chr1q
3988	chr1	q	124339061	INV	1	0.001196	124.339061	0.00804252494716845	9.61885983681347e-06	chr1q
3988	chr10	p	40649191	DEL	5	0.014128	40.649191	0.123003677982177	0.000347559192506439	chr10p
3988	chr10	p	40649191	DUP	1	0.00468	40.649191	0.0246007355964354	0.000115131442591317	chr10p
3988	chr10	p	40649191	INS	2	2e-06	40.649191	0.0492014711928707	4.92014711928707e-08	chr10p
3988	chr10	q	94108943	DEL	4	0.020491	94.108943	0.0425039307900844	0.000217737011454905	chr10q
3988	chr11	p	52743313	DEL	2	0.011547	52.743313	0.03791949891354	0.000218928226977323	chr11p
3988	chr11	p	52743313	INS	1	1e-06	52.743313	0.01895974945677	1.895974945677e-08	chr11p
3988	chr11	q	82384456	DEL	6	0.033935	82.384456	0.072829272551123	0.00041191022733706	chr11q
3988	chr11	q	82384456	DUP	1	0.013863	82.384456	0.0121382120918538	0.00016827203422937	chr11q
3988	chr11	q	82384456	INS	4	4e-06	82.384456	0.0485528483674153	4.85528483674153e-08	chr11q
3988	chr12	p	35911664	DEL	1	0.000376	35.911664	0.0278461059337156	1.04701358310771e-05	chr12p
3988	chr12	p	35911664	DUP	1	0.000742	35.911664	0.0278461059337156	2.0661810602817e-05	chr12p
3988	chr12	q	97412884	DEL	3	0.451903	97.412884	0.0307967475842313	0.00463904754118562	chr12q
3988	chr12	q	97412884	DUP	3	0.01932	97.412884	0.0307967475842313	0.000198331054442449	chr12q
3988	chr12	q	97412884	INS	1	1e-06	97.412884	0.0102655825280771	1.02655825280771e-08	chr12q
3988	chr13	q	97043744	DEL	1	7.6e-05	97.043744	0.0103046312805079	7.831519773186e-07	chr13q
3988	chr13	q	97043744	INS	1	1e-06	97.043744	0.0103046312805079	1.03046312805079e-08	chr13q
3988	chr14	p	11400261	DEL	3	0.027205	11.400261	0.26315186994403	0.00238634887394245	chr14p
3988	chr14	p	11400261	INS	1	1e-06	11.400261	0.0877172899813434	8.77172899813434e-08	chr14p
3988	chr14	q	89761231	DEL	3	0.000396	89.761231	0.0334220015320423	4.41170420222958e-06	chr14q
3988	chr14	q	89761231	INS	1	1e-06	89.761231	0.0111406671773474	1.11406671773474e-08	chr14q
3988	chr15	q	82566565	DEL	4	0.017469	82.566565	0.0484457600967171	0.000211574745782388	chr15q
3988	chr16	p	36838903	DEL	1	0.022031	36.838903	0.0271452165663022	0.000598036266172204	chr16p
3988	chr16	p	36838903	INS	2	2e-06	36.838903	0.0542904331326044	5.42904331326044e-08	chr16p
3988	chr16	q	59491471	DEL	2	0.023486	59.491471	0.0336182643727199	0.00039477927852885	chr16q
3988	chr16	q	59491471	INV	2	0.001093	59.491471	0.0336182643727199	1.83723814796914e-05	chr16q
3988	chr17	p	25689679	DEL	1	0.000478	25.689679	0.0389261383919978	1.8606694151375e-05	chr17p
3988	chr17	p	25689679	INS	1	1e-06	25.689679	0.0389261383919978	3.89261383919978e-08	chr17p
3988	chr17	q	58587218	DEL	6	38.688226	58.587218	0.102411416770122	0.660352672830446	chr17q
3988	chr17	q	58587218	INS	2	2e-06	58.587218	0.034137138923374	3.4137138923374e-08	chr17q
3988	chr18	q	62092914	DEL	3	0.008937	62.092914	0.0483146917537161	0.00014392946673432	chr18q
3988	chr18	q	62092914	INS	4	4e-06	62.092914	0.0644195890049547	6.44195890049547e-08	chr18q
3988	chr19	p	27792923	INS	2	2e-06	27.792923	0.0719607649760337	7.19607649760337e-08	chr19p
3988	chr2	p	93503283	DEL	5	0.081997	93.503283	0.0534740582317308	0.000876942470565445	chr2p
3988	chr2	p	93503283	INS	1	1e-06	93.503283	0.0106948116463462	1.06948116463462e-08	chr2p
3988	chr2	q	149193469	DEL	4	0.033062	149.193469	0.0268108250770682	0.000221604874674507	chr2q
3988	chr2	q	149193469	DUP	1	0.338006	149.193469	0.00670270626926705	0.00226555493524988	chr2q
3988	chr2	q	149193469	INS	1	1e-06	149.193469	0.00670270626926705	6.70270626926706e-09	chr2q
3988	chr20	p	28012753	INV	1	0.000618	28.012753	0.0356980265381271	2.20613804005626e-05	chr20p
3988	chr20	q	38197502	DEL	3	0.004715	38.197502	0.0785391672994742	0.00012343739127234	chr20q
3988	chr20	q	38197502	INS	1	1e-06	38.197502	0.0261797224331581	2.61797224331581e-08	chr20q
3988	chr21	q	33956153	DEL	1	0.001427	33.956153	0.0294497436149496	4.2024784138533e-05	chr21q
3988	chr21	q	33956153	INS	1	1e-06	33.956153	0.0294497436149496	2.94497436149495e-08	chr21q
3988	chr22	q	37075304	DEL	1	0.000539	37.075304	0.0269721321772574	1.45379792435417e-05	chr22q
3988	chr3	p	94076514	DEL	4	0.022396	94.076514	0.0425185822680462	0.000238061542118791	chr3p
3988	chr3	p	94076514	INS	1	1e-06	94.076514	0.0106296455670115	1.06296455670115e-08	chr3p
3988	chr3	q	107029434	DEL	5	0.101208	107.029434	0.046716121099921	0.000945609036856161	chr3q
3988	chr3	q	107029434	INS	1	1e-06	107.029434	0.0093432242199842	9.34322421998420e-09	chr3q
3988	chr4	p	52452474	DEL	3	0.14717	52.452474	0.0571946329929071	0.00280577804585538	chr4p
3988	chr4	p	52452474	INS	1	1e-06	52.452474	0.0190648776643024	1.90648776643024e-08	chr4p
3988	chr4	q	141122471	DEL	7	0.033941	141.122471	0.049602306070732	0.000240507410049531	chr4q
3988	chr4	q	141122471	INS	6	6e-06	141.122471	0.0425162623463417	4.25162623463417e-08	chr4q
3988	chr5	p	48317879	DEL	1	0.000861	48.317879	0.0206962726985595	1.78194907934597e-05	chr5p
3988	chr5	p	48317879	INS	3	3e-06	48.317879	0.0620888180956784	6.20888180956784e-08	chr5p
