type	chr	Sample_ID	arm.x	arm_size	sv_count	sv_size_sum	chr_length_mb	sv_rate	sv_proportion	chr_arm	final_average_TL_p75	chr_order	arm.y	final_average_TL_p75_kb	direction	TL_group
DEL	chr10	6324B	p	40649191	322	0.082553	40.649191	7.92143686205219	0.00203086452569253	chr10p	5622.5	10	p	5.6225	Negative	Other
DEL	chr10	6324B	q	94108943	515	0.128742	94.108943	5.47238108922337	0.00136801026444426	chr10q	4463	10	q	4.463	Positive	Other
DEL	chr10	6365A	p	40649191	276	0.077332	40.649191	6.78980302461616	0.00190242408514354	chr10p	3500.66666666667	10	p	3.50066666666667	Negative	Other
DEL	chr10	6365A	q	94108943	515	0.210422	94.108943	5.47238108922337	0.00223594053117779	chr10q	4528.75	10	q	4.52875	Positive	Other
DEL	chr10	6414C	p	40649191	318	0.096744	40.649191	7.82303391966644	0.00237997356454154	chr10p	3418	10	p	3.418	Negative	Short TL
DEL	chr10	6414C	q	94108943	441	41.118441	94.108943	4.68605836960681	0.436923842615042	chr10q	3135	10	q	3.135	Positive	Short TL
DEL	chr10	6423A	p	40649191	282	0.086417	40.649191	6.93740743819477	0.00212592176803715	chr10p	3955	10	p	3.955	Negative	Other
DEL	chr10	6423A	q	94108943	438	0.148079	94.108943	4.65418042151424	0.00157348489186623	chr10q	4892	10	q	4.892	Positive	Other
DEL	chr10	6436B	p	40649191	296	0.084819	40.649191	7.28181773654487	0.00208660979255405	chr10p	8161	10	p	8.161	Negative	Other
DEL	chr10	6436B	q	94108943	508	0.161757	94.108943	5.39799921034072	0.00171882708320292	chr10q	6552	10	q	6.552	Positive	Other
DEL	chr10	6439C	p	40649191	312	0.095583	40.649191	7.67542950608783	0.00235141211051408	chr10p	4815.5	10	p	4.8155	Negative	Other
DEL	chr10	6439C	q	94108943	629	0.263173	94.108943	6.68374311674078	0.00279647174445472	chr10q	6709.5	10	q	6.7095	Positive	Other
DEL	chr10	6478A	p	40649191	288	8.785709	40.649191	7.08501185177338	0.216134904136223	chr10p	3217	10	p	3.217	Negative	Other
DEL	chr10	6478A	q	94108943	600	0.200683	94.108943	6.37558961851266	0.00213245408568663	chr10q	3380.5	10	q	3.3805	Positive	Other
DEL	chr10	6483C	p	40649191	292	0.081853	40.649191	7.18341479415913	0.00201364401077502	chr10p	4391	10	p	4.391	Negative	Other
DEL	chr10	6483C	q	94108943	568	0.236233	94.108943	6.03555817219199	0.0025102077705835	chr10q	7840.5	10	q	7.8405	Positive	Other
DEL	chr10	6500D	p	40649191	316	0.109507	40.649191	7.77383244847357	0.00269395275295885	chr10p	4404.66666666667	10	p	4.40466666666667	Negative	Other
DEL	chr10	6500D	q	94108943	640	0.211345	94.108943	6.80062892641351	0.0022457483132076	chr10q	5336.5	10	q	5.3365	Positive	Other
DEL	chr10	6605D	p	40649191	325	0.103202	40.649191	7.99523906884149	0.00253884511502332	chr10p	3380	10	p	3.38	Negative	Other
DEL	chr10	6605D	q	94108943	506	0.148197	94.108943	5.37674724494568	0.00157473875782454	chr10q	5264.75	10	q	5.26475	Positive	Other
DEL	chr11	2436A	p	52743313	288	0.104279	52.743313	5.46040784354976	0.00197710371360252	chr11p	6766	11	p	6.766	Negative	Other
DEL	chr11	2436A	q	82384456	395	0.117669	82.384456	4.79459377628226	0.00142829127863635	chr11q	5303	11	q	5.303	Negative	Other
DEL	chr11	3188	p	52743313	239	0.161591	52.743313	4.53138012016803	0.00306372487446892	chr11p	2651.25	11	p	2.65125	Negative	Short TL
DEL	chr11	3188	q	82384456	250	11.212395	82.384456	3.03455302296346	0.136098428567641	chr11q	3293	11	q	3.293	Negative	Short TL
DEL	chr11	3988	p	52743313	247	0.088086	52.743313	4.68305811582219	0.00167008849064904	chr11p	3587	11	p	3.587	Negative	Other
DEL	chr11	3988	q	82384456	292	0.108583	82.384456	3.54435793082132	0.00131800348356976	chr11q	5008.33333333333	11	q	5.00833333333333	Negative	Other
DEL	chr11	6265D	p	52743313	194	0.095647	52.743313	3.67819139461338	0.00181344315629168	chr11p	4933	11	p	4.933	Negative	Other
DEL	chr11	6265D	q	82384456	225	0.127065	82.384456	2.73109772066711	0.00154234191945141	chr11q	4069	11	q	4.069	Negative	Other
DEL	chr11	6266D	p	52743313	290	0.103382	52.743313	5.4983273424633	0.0019600968183398	chr11p	4686.25	11	p	4.68625	Negative	Other
DEL	chr11	6266D	q	82384456	379	0.140799	82.384456	4.6003823828126	0.00170904812432093	chr11q	6269	11	q	6.269	Negative	Other
DEL	chr11	6269C	q	82384456	235	22.634165	82.384456	2.85247984158565	0.274738295292015	chr11q	3914	11	q	3.914	Negative	Short TL
DEL	chr11	6277A	p	52743313	344	0.123838	52.743313	6.52215381312888	0.00234793745322748	chr11p	3009	11	p	3.009	Negative	Other
DEL	chr11	6277A	q	82384456	389	0.145908	82.384456	4.72176450373114	0.00177106224989821	chr11q	2569.25	11	q	2.56925	Negative	Other
DEL	chr11	6285B	q	82384456	371	0.087424	82.384456	4.50327668607777	0.00106117105391823	chr11q	2939	11	q	2.939	Negative	Short TL
DEL	chr11	6298B	p	52743313	330	0.129923	52.743313	6.2567173207341	0.00246330752867193	chr11p	3572	11	p	3.572	Negative	Other
DEL	chr11	6298B	q	82384456	368	0.09504	82.384456	4.46686204980221	0.00115361567720979	chr11q	7347.5	11	q	7.3475	Negative	Other
DEL	chr11	6314E	q	82384456	223	0.105013	82.384456	2.7068212964834	0.00127467006640185	chr11q	6660	11	q	6.66	Negative	Other
DEL	chr11	6324B	p	52743313	330	0.100371	52.743313	6.2567173207341	0.00190300901272546	chr11p	11241.5	11	p	11.2415	Negative	Other
DEL	chr11	6324B	q	82384456	388	0.099019	82.384456	4.70962629163929	0.00120191362312327	chr11q	7423.5	11	q	7.4235	Negative	Other
DEL	chr11	6365A	q	82384456	363	17.35268	82.384456	4.40617098934294	0.21063051020207	chr11q	4253.25	11	q	4.25325	Negative	Other
DEL	chr11	6414C	q	82384456	385	0.093686	82.384456	4.67321165536373	0.00113718053803742	chr11q	3541.5	11	q	3.5415	Negative	Short TL
DEL	chr11	6423A	p	52743313	298	0.128109	52.743313	5.65000533811746	0.00242891454315735	chr11p	6391	11	p	6.391	Negative	Other
DEL	chr11	6423A	q	82384456	346	0.095929	82.384456	4.19982138378143	0.00116440654775945	chr11q	3274.75	11	q	3.27475	Negative	Other
DEL	chr11	6436B	p	52743313	305	0.13456	52.743313	5.78272358431485	0.00255122388690297	chr11p	164	11	p	0.164	Negative	Other
DEL	chr11	6436B	q	82384456	376	0.084928	82.384456	4.56396774653704	0.00103087407653696	chr11q	8697	11	q	8.697	Negative	Other
DEL	chr11	6439C	p	52743313	273	0.118242	52.743313	5.17601160169821	0.0022418386952674	chr11p	2171	11	p	2.171	Negative	Other
DEL	chr11	6439C	q	82384456	398	0.119993	82.384456	4.83100841255782	0.00145650048353782	chr11q	6321.25	11	q	6.32125	Negative	Other
DEL	chr11	6478A	p	52743313	261	0.088022	52.743313	4.94849460821697	0.00166887506668381	chr11p	3144	11	p	3.144	Negative	Other
DEL	chr11	6478A	q	82384456	379	0.122528	82.384456	4.6003823828126	0.00148727085119067	chr11q	5482.66666666667	11	q	5.48266666666667	Negative	Other
DEL	chr11	6483C	p	52743313	286	0.118448	52.743313	5.42248834463622	0.00224574440365549	chr11p	6273.5	11	p	6.2735	Negative	Other
DEL	chr11	6483C	q	82384456	395	0.118843	82.384456	4.79459377628226	0.00144254153963218	chr11q	3571.5	11	q	3.5715	Negative	Other
DEL	chr11	6500D	q	82384456	359	0.081574	82.384456	4.35761814097553	0.000990162513180884	chr11q	5690	11	q	5.69	Negative	Other
DEL	chr11	6605D	p	52743313	300	11.270287	52.743313	5.687924837031	0.213681817825892	chr11p	3181	11	p	3.181	Negative	Other
DEL	chr11	6605D	q	82384456	369	0.130878	82.384456	4.47900026189406	0.00158862492215765	chr11q	2351	11	q	2.351	Negative	Other
DEL	chr12	2436A	p	35911664	207	0.068002	35.911664	5.76414392827912	0.00189359089570453	chr12p	5319.4	12	p	5.3194	Positive	Other
DEL	chr12	2436A	q	97412884	510	0.164131	97.412884	5.23544708931931	0.00168490032591582	chr12q	6085	12	q	6.085	Positive	Other
DEL	chr12	3188	p	35911664	89	84.967659	35.911664	2.47830342810069	2.36601843345382	chr12p	2473.5	12	p	2.4735	Positive	Short TL
DEL	chr12	3188	q	97412884	266	0.094315	97.412884	2.7306449524685	0.00096819841613559	chr12q	2691	12	q	2.691	Positive	Short TL
DEL	chr12	3988	p	35911664	230	0.149037	35.911664	6.40460436475458	0.00415010009004317	chr12p	8105	12	p	8.105	Positive	Other
DEL	chr12	3988	q	97412884	453	0.12494	97.412884	4.65030888521892	0.00128258188105795	chr12q	4392.5	12	q	4.3925	Positive	Other
DEL	chr12	6265D	p	35911664	124	0.058353	35.911664	3.45291713578073	0.0016249038195501	chr12p	6917	12	p	6.917	Positive	Other
DEL	chr12	6265D	q	97412884	380	0.192162	97.412884	3.90092136066929	0.00197265486976035	chr12q	7486	12	q	7.486	Positive	Other
DEL	chr12	6266D	p	35911664	203	0.115365	35.911664	5.65275950454426	0.0032124660110431	chr12p	4092.5	12	p	4.0925	Positive	Other
DEL	chr12	6266D	q	97412884	510	0.143858	97.412884	5.23544708931931	0.00147678617132411	chr12q	2331	12	q	2.331	Positive	Other
DEL	chr12	6269C	p	35911664	124	0.081549	35.911664	3.45291713578073	0.00227082209278857	chr12p	4043.16666666667	12	p	4.04316666666667	Positive	Short TL
DEL	chr12	6269C	q	97412884	407	0.16327	97.412884	4.17809208892737	0.00167606165935915	chr12q	4918.75	12	q	4.91875	Positive	Short TL
DEL	chr12	6277A	p	35911664	208	0.213568	35.911664	5.79199003421284	0.00594703715205177	chr12p	6638.75	12	p	6.63875	Positive	Other
DEL	chr12	6277A	q	97412884	539	0.187123	97.412884	5.53314898263355	0.00192092659940137	chr12q	6703	12	q	6.703	Positive	Other
DEL	chr12	6285B	p	35911664	192	0.08732	35.911664	5.34645233927339	0.00243152197013204	chr12p	3126.5	12	p	3.1265	Positive	Short TL
DEL	chr12	6285B	q	97412884	497	0.137997	97.412884	5.10199451645431	0.00141661959212705	chr12q	3656	12	q	3.656	Positive	Short TL
DEL	chr12	6298B	p	35911664	199	0.111348	35.911664	5.5413750808094	0.00310060820350736	chr12p	3916	12	p	3.916	Positive	Other
DEL	chr12	6298B	q	97412884	521	0.140514	97.412884	5.34836849712816	0.00144245806335022	chr12q	5358.5	12	q	5.3585	Positive	Other
DEL	chr12	6314E	q	97412884	369	0.167169	97.412884	3.78799995286044	0.00171608716563612	chr12q	8929	12	q	8.929	Positive	Other
DEL	chr12	6324B	p	35911664	185	0.064169	35.911664	5.15152959773738	0.00178685677166059	chr12p	3744.5	12	p	3.7445	Positive	Other
DEL	chr12	6324B	q	97412884	548	0.169105	97.412884	5.62553922538624	0.00173596133341048	chr12q	3334	12	q	3.334	Positive	Other
DEL	chr12	6365A	p	35911664	201	0.085222	35.911664	5.59706729267683	0.00237310083988311	chr12p	6876	12	p	6.876	Positive	Other
DEL	chr12	6365A	q	97412884	535	0.16606	97.412884	5.49208665252124	0.00170470263461248	chr12q	4486.5	12	q	4.4865	Positive	Other
DEL	chr12	6414C	p	35911664	220	0.115169	35.911664	6.12614330541743	0.00320700817428009	chr12p	3801.5	12	p	3.8015	Positive	Short TL
DEL	chr12	6414C	q	97412884	519	0.148818	97.412884	5.32783733207201	0.00152770346066338	chr12q	3275.25	12	q	3.27525	Positive	Short TL
DEL	chr12	6423A	p	35911664	171	0.087619	35.911664	4.76168411466536	0.00243984795580622	chr12p	4860.5	12	p	4.8605	Positive	Other
DEL	chr12	6423A	q	97412884	539	0.176861	97.412884	5.53314898263355	0.00181558119149824	chr12q	5828	12	q	5.828	Positive	Other
DEL	chr12	6436B	p	35911664	198	0.084237	35.911664	5.51352897487568	0.0023456724255384	chr12p	5063.5	12	p	5.0635	Positive	Other
DEL	chr12	6436B	q	97412884	499	0.142273	97.412884	5.12252568151047	0.00146051522301711	chr12q	4837.25	12	q	4.83725	Positive	Other
DEL	chr12	6439C	p	35911664	202	0.093291	35.911664	5.62491339861055	0.00259779106866226	chr12p	2460	12	p	2.46	Positive	Other
DEL	chr12	6439C	q	97412884	508	82.336616	97.412884	5.21491592426316	0.845233326630592	chr12q	6020.5	12	q	6.0205	Positive	Other
DEL	chr12	6478A	p	35911664	212	0.069057	35.911664	5.9033744579477	0.0019229685374646	chr12p	3972	12	p	3.972	Positive	Other
DEL	chr12	6478A	q	97412884	548	0.140947	97.412884	5.62553922538624	0.00144690306058488	chr12q	6452.5	12	q	6.4525	Positive	Other
DEL	chr12	6483C	p	35911664	190	0.068996	35.911664	5.29076012740596	0.00192126992500264	chr12p	5712.5	12	p	5.7125	Positive	Other
DEL	chr12	6483C	q	97412884	513	0.149945	97.412884	5.26624383690354	0.00153927277217252	chr12q	3204	12	q	3.204	Positive	Other
DEL	chr12	6500D	p	35911664	202	0.082251	35.911664	5.62491339861055	0.00229037005915404	chr12p	6425.5	12	p	6.4255	Positive	Other
DEL	chr12	6500D	q	97412884	539	0.164332	97.412884	5.53314898263355	0.00168696370800396	chr12q	6895.5	12	q	6.8955	Positive	Other
DEL	chr12	6605D	p	35911664	199	0.062001	35.911664	5.5413750808094	0.0017264864139963	chr12p	6821.16666666667	12	p	6.82116666666667	Positive	Other
DEL	chr12	6605D	q	97412884	509	0.135904	97.412884	5.22518150679124	0.00139513372789579	chr12q	3801.25	12	q	3.80125	Positive	Other
DEL	chr13	2436A	p	16522942	93	0.062325	16.522942	5.62853758126125	0.00377202800808718	chr13p	7972.28571428571	13	p	7.97228571428571	Negative	Other
DEL	chr13	2436A	q	97043744	586	0.146451	97.043744	6.03851393037762	0.00150912355566166	chr13q	5454	13	q	5.454	Positive	Other
DEL	chr13	3188	p	16522942	79	0.062169	16.522942	4.78123084859827	0.00376258659020894	chr13p	4230.5	13	p	4.2305	Negative	Short TL
DEL	chr13	3188	q	97043744	429	12.147332	97.043744	4.42068681933789	0.125173777301914	chr13q	3465	13	q	3.465	Positive	Short TL
DEL	chr13	3988	p	16522942	21	0.005048	16.522942	1.27096009899448	0.000305514599034482	chr13p	8283	13	p	8.283	Negative	Other
DEL	chr13	3988	q	97043744	494	0.141161	97.043744	5.0904878525709	0.00145461205618777	chr13q	5875.33333333333	13	q	5.87533333333333	Positive	Other
DEL	chr13	6265D	p	16522942	162	0.141066	16.522942	9.80454933510025	0.00853758368213118	chr13p	3786.5	13	p	3.7865	Negative	Other
DEL	chr13	6265D	q	97043744	326	86.10429	97.043744	3.35930979744557	0.887272960119923	chr13q	11754	13	q	11.754	Positive	Other
DEL	chr13	6266D	p	16522942	110	0.049477	16.522942	6.65741004235202	0.00299444251514046	chr13p	7050	13	p	7.05	Negative	Other
DEL	chr13	6266D	q	97043744	557	0.162509	97.043744	5.7396796232429	0.00167459532476406	chr13q	7529.66666666667	13	q	7.52966666666667	Positive	Other
DEL	chr13	6269C	p	16522942	72	76.969834	16.522942	4.35757748226678	4.65836132572516	chr13p	5922	13	p	5.922	Negative	Short TL
DEL	chr13	6269C	q	97043744	464	0.189929	97.043744	4.78134891415566	0.00195714831447558	chr13q	5219	13	q	5.219	Positive	Short TL
DEL	chr13	6277A	p	16522942	108	0.071369	16.522942	6.53636622340017	0.00431938815738747	chr13p	4624	13	p	4.624	Negative	Other
DEL	chr13	6277A	q	97043744	580	42.371133	97.043744	5.97668614269458	0.43661890250236	chr13q	7173.33333333333	13	q	7.17333333333333	Positive	Other
DEL	chr13	6285B	p	16522942	53	0.035618	16.522942	3.20766120222416	0.00215566937171358	chr13p	4943	13	p	4.943	Negative	Short TL
DEL	chr13	6285B	q	97043744	488	0.119397	97.043744	5.02866006488785	0.0012303420609988	chr13q	4999.5	13	q	4.9995	Positive	Short TL
DEL	chr13	6298B	p	16522942	54	0.015145	16.522942	3.26818311170008	0.000916604319012922	chr13p	4290.75	13	p	4.29075	Negative	Other
DEL	chr13	6298B	q	97043744	609	0.216963	97.043744	6.27552044982931	0.00223572371651283	chr13q	5124.5	13	q	5.1245	Positive	Other
DEL	chr13	6314E	p	16522942	78	0.037572	16.522942	4.72070893912234	0.00227392918282955	chr13p	4142	13	p	4.142	Negative	Other
DEL	chr13	6314E	q	97043744	435	0.157415	97.043744	4.48251460702093	0.00162210353302115	chr13q	3436	13	q	3.436	Positive	Other
DEL	chr13	6324B	p	16522942	110	0.040121	16.522942	6.65741004235202	0.00242819953008369	chr13p	5372.5	13	p	5.3725	Negative	Other
DEL	chr13	6365A	p	16522942	53	0.03415	16.522942	3.20766120222416	0.00206682320860292	chr13p	3575.33333333333	13	p	3.57533333333333	Negative	Other
DEL	chr13	6365A	q	97043744	618	0.15711	97.043744	6.36826213135388	0.00161896062048059	chr13q	6328.5	13	q	6.3285	Positive	Other
DEL	chr13	6414C	p	16522942	85	0.033501	16.522942	5.14436230545383	0.00202754448935305	chr13p	3878	13	p	3.878	Negative	Short TL
DEL	chr13	6414C	q	97043744	606	0.176494	97.043744	6.24460655598778	0.00181870559322196	chr13q	3207.5	13	q	3.2075	Positive	Short TL
DEL	chr13	6423A	p	16522942	37	0.016114	16.522942	2.23931065060932	0.000975250049295095	chr13p	3496.5	13	p	3.4965	Negative	Other
DEL	chr13	6423A	q	97043744	571	0.14637	97.043744	5.88394446117001	0.00150828888052794	chr13q	3747.5	13	q	3.7475	Positive	Other
DEL	chr13	6436B	p	16522942	53	0.024117	16.522942	3.20766120222416	0.00145960689083094	chr13p	4568.5	13	p	4.5685	Negative	Other
DEL	chr13	6436B	q	97043744	556	0.212174	97.043744	5.72937499196239	0.00218637483731048	chr13q	8281.5	13	q	8.2815	Positive	Other
DEL	chr13	6439C	p	16522942	61	0.029002	16.522942	3.69183647803158	0.00175525641862085	chr13p	6738	13	p	6.738	Negative	Other
DEL	chr13	6439C	q	97043744	614	0.228468	97.043744	6.32704360623184	0.00235427849939508	chr13q	8785	13	q	8.785	Positive	Other
DEL	chr13	6478A	p	16522942	69	0.025082	16.522942	4.176011753839	0.00151801053347521	chr13p	4677.33333333333	13	p	4.67733333333333	Negative	Other
DEL	chr13	6478A	q	97043744	583	0.139874	97.043744	6.0076000365361	0.00144134999572976	chr13q	7644.5	13	q	7.6445	Positive	Other
DEL	chr13	6483C	q	97043744	602	0.147668	97.043744	6.20338803086575	0.00152166429193004	chr13q	4782	13	q	4.782	Positive	Other
DEL	chr13	6500D	p	16522942	83	0.047479	16.522942	5.02331848650198	0.00287351974000756	chr13p	4939	13	p	4.939	Negative	Other
DEL	chr13	6500D	q	97043744	612	0.154123	97.043744	6.30643434367083	0.00158818068684572	chr13q	4502	13	q	4.502	Positive	Other
DEL	chr13	6605D	p	16522942	39	0.01686	16.522942	2.36035446956117	0.00102039939376414	chr13p	3483.5	13	p	3.4835	Negative	Other
DEL	chr13	6605D	q	97043744	593	0.147064	97.043744	6.11064634934118	0.00151544029463661	chr13q	6952	13	q	6.952	Positive	Other
DEL	chr14	2436A	p	11400261	235	0.095712	11.400261	20.6135631456157	0.00839559725869434	chr14p	9562	14	p	9.562	Positive	Other
DEL	chr14	2436A	q	89761231	435	0.122578	89.761231	4.84619022214613	0.00136560070126489	chr14q	3490.6	14	q	3.4906	Positive	Other
DEL	chr14	3188	q	89761231	277	53.950542	89.761231	3.08596480812524	0.601045032459504	chr14q	2626	14	q	2.626	Positive	Short TL
