filename	chr	Arm	arm_size.y	type	sv_count	sv_size_sum	chr_arm_length_mb	sv_rate	sv_proportion	region	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
2436A	chr10	q	94108943	DUP	1	0.023654	94.108943	0.0106259826975211	0.000251346994727164	chr10q	2732.75	10	q	2.73275	Positive	Other
2436A	chr10	q	94108943	INS	5	0.008797	94.108943	0.0531299134876055	9.34767697900932e-05	chr10q	2732.75	10	q	2.73275	Positive	Other
2436A	chr11	p	52743313	BND	4	0.017322	52.743313	0.07583899782708	0.00032842078009017	chr11p	6766	11	p	6.766	Negative	Other
2436A	chr11	p	52743313	DEL	2	0.011691	52.743313	0.03791949891354	0.000221658430899098	chr11p	6766	11	p	6.766	Negative	Other
2436A	chr11	q	82384456	BND	10	0.463214	82.384456	0.121382120918538	0.00562258977591598	chr11q	5303	11	q	5.303	Negative	Other
2436A	chr11	q	82384456	DEL	4	0.034358	82.384456	0.0485528483674153	0.000417044691051914	chr11q	5303	11	q	5.303	Negative	Other
2436A	chr11	q	82384456	DUP	1	0.001514	82.384456	0.0121382120918538	1.83772531070667e-05	chr11q	5303	11	q	5.303	Negative	Other
2436A	chr11	q	82384456	INS	2	0.006382	82.384456	0.0242764241837077	7.74660695702112e-05	chr11q	5303	11	q	5.303	Negative	Other
2436A	chr12	p	35911664	BND	5	186.374464	35.911664	0.139230529668578	5.18980306788346	chr12p	5319.4	12	p	5.3194	Positive	Other
2436A	chr12	p	35911664	DEL	1	0.000227	35.911664	0.0278461059337156	6.32106604695343e-06	chr12p	5319.4	12	p	5.3194	Positive	Other
2436A	chr12	p	35911664	INS	1	0.004078	35.911664	0.0278461059337156	0.000113556419997692	chr12p	5319.4	12	p	5.3194	Positive	Other
2436A	chr12	q	97412884	BND	3	99.64919	97.412884	0.0307967475842313	1.02295698380103	chr12q	6085	12	q	6.085	Positive	Other
2436A	chr12	q	97412884	DEL	1	0.014367	97.412884	0.0102655825280771	0.000147485624180883	chr12q	6085	12	q	6.085	Positive	Other
2436A	chr12	q	97412884	INS	4	0.009253	97.412884	0.0410623301123083	9.49874351322973e-05	chr12q	6085	12	q	6.085	Positive	Other
2436A	chr13	p	16522942	INS	1	0.005156	16.522942	0.0605219094759275	0.000312050965257882	chr13p	7972.28571428571	13	p	7.97228571428571	Negative	Other
2436A	chr13	q	97043744	DEL	2	0.004917	97.043744	0.0206092625610158	5.06678720062573e-05	chr13q	5454	13	q	5.454	Positive	Other
2436A	chr14	p	11400261	DEL	1	0.000649	11.400261	0.0877172899813434	5.69285211978919e-05	chr14p	9562	14	p	9.562	Positive	Other
2436A	chr14	p	11400261	INS	1	0.001503	11.400261	0.0877172899813434	0.000131839086841959	chr14p	9562	14	p	9.562	Positive	Other
2436A	chr14	q	89761231	BND	2	0.012912	89.761231	0.0222813343546948	0.00014384829459391	chr14q	3490.6	14	q	3.4906	Positive	Other
2436A	chr14	q	89761231	DEL	2	0.000302	89.761231	0.0222813343546948	3.36448148755892e-06	chr14q	3490.6	14	q	3.4906	Positive	Other
2436A	chr14	q	89761231	INS	3	0.004666	89.761231	0.0334220015320423	5.19823530495031e-05	chr14q	3490.6	14	q	3.4906	Positive	Other
2436A	chr15	q	82566565	BND	2	0.022012	82.566565	0.0242228800483586	0.000266597017812234	chr15q	4111.5	15	q	4.1115	Negative	Other
2436A	chr15	q	82566565	DEL	2	0.005549	82.566565	0.0242228800483586	6.72063806941708e-05	chr15q	4111.5	15	q	4.1115	Negative	Other
2436A	chr15	q	82566565	INS	1	0.000312	82.566565	0.0121114400241793	3.77876928754394e-06	chr15q	4111.5	15	q	4.1115	Negative	Other
2436A	chr16	p	36838903	DEL	4	0.028985	36.838903	0.108580866265209	0.000786804102174269	chr16p	6940.2	16	p	6.9402	Positive	Other
2436A	chr16	p	36838903	INS	3	0.000449	36.838903	0.0814356496989066	1.21882022382697e-05	chr16p	6940.2	16	p	6.9402	Positive	Other
2436A	chr16	q	59491471	BND	6	0.074222	59.491471	0.10085479311816	0.00124760740913601	chr16q	5979	16	q	5.979	Negative	Other
2436A	chr16	q	59491471	DEL	7	0.03361	59.491471	0.11766392530452	0.000564954932783558	chr16q	5979	16	q	5.979	Negative	Other
2436A	chr16	q	59491471	INV	1	0.000431	59.491471	0.01680913218636	7.24473597232114e-06	chr16q	5979	16	q	5.979	Negative	Other
2436A	chr17	p	25689679	DEL	3	0.016897	25.689679	0.116778415175993	0.000657734960409587	chr17p	7989.25	17	p	7.98925	Positive	Other
2436A	chr17	q	58587218	BND	6	1.515076	58.587218	0.102411416770122	0.0258601799457349	chr17q	4601.5	17	q	4.6015	Positive	Other
2436A	chr17	q	58587218	DEL	3	0.000953	58.587218	0.0512057083850611	1.62663466969877e-05	chr17q	4601.5	17	q	4.6015	Positive	Other
2436A	chr17	q	58587218	DUP	1	0.003789	58.587218	0.017068569461687	6.46728096903321e-05	chr17q	4601.5	17	q	4.6015	Positive	Other
2436A	chr17	q	58587218	INS	1	0.004969	58.587218	0.017068569461687	8.48137216551228e-05	chr17q	4601.5	17	q	4.6015	Positive	Other
2436A	chr18	q	62092914	BND	2	0.801332	62.092914	0.0322097945024774	0.0129053695241296	chr18q	3629.5	18	q	3.6295	Positive	Other
2436A	chr18	q	62092914	DEL	2	0.004396	62.092914	0.0322097945024774	7.07971283164452e-05	chr18q	3629.5	18	q	3.6295	Positive	Other
2436A	chr18	q	62092914	INS	1	0.005112	62.092914	0.0161048972512387	8.23282347483322e-05	chr18q	3629.5	18	q	3.6295	Positive	Other
2436A	chr19	p	27792923	DEL	1	6.7e-05	27.792923	0.0359803824880168	2.41068562669713e-06	chr19p	6319.75	19	p	6.31975	Negative	Other
2436A	chr19	p	27792923	DUP	2	0.666915	27.792923	0.0719607649760337	0.0239958567869957	chr19p	6319.75	19	p	6.31975	Negative	Other
2436A	chr19	p	27792923	INS	2	0.001499	27.792923	0.0719607649760337	5.39345933495372e-05	chr19p	6319.75	19	p	6.31975	Negative	Other
2436A	chr19	q	33914441	DEL	2	0.000227	33.914441	0.0589719288016571	6.69331391898808e-06	chr19q	4544.5	19	q	4.5445	Positive	Other
2436A	chr19	q	33914441	INS	1	0.003034	33.914441	0.0294859644008285	8.94604159921138e-05	chr19q	4544.5	19	q	4.5445	Positive	Other
2436A	chr2	p	93503283	BND	4	0.007802	93.503283	0.0427792465853846	8.34409204647927e-05	chr2p	4118.25	2	p	4.11825	Negative	Other
2436A	chr2	p	93503283	DEL	2	0.023165	93.503283	0.0213896232926923	0.000247745311787609	chr2p	4118.25	2	p	4.11825	Negative	Other
2436A	chr2	p	93503283	DUP	1	0.013584	93.503283	0.0106948116463462	0.000145278321403966	chr2p	4118.25	2	p	4.11825	Negative	Other
2436A	chr2	p	93503283	INS	1	9.3e-05	93.503283	0.0106948116463462	9.94617483110192e-07	chr2p	4118.25	2	p	4.11825	Negative	Other
2436A	chr2	q	149193469	BND	4	0.003236	149.193469	0.0268108250770682	2.16899574873482e-05	chr2q	6963	2	q	6.963	Positive	Other
2436A	chr2	q	149193469	DEL	3	0.014373	149.193469	0.0201081188078012	9.63379972081754e-05	chr2q	6963	2	q	6.963	Positive	Other
2436A	chr2	q	149193469	DUP	1	0.00029	149.193469	0.00670270626926705	1.94378481808745e-06	chr2q	6963	2	q	6.963	Positive	Other
2436A	chr2	q	149193469	INS	4	0.011971	149.193469	0.0268108250770682	8.02380967493959e-05	chr2q	6963	2	q	6.963	Positive	Other
2436A	chr20	p	28012753	BND	2	0.330972	28.012753	0.0713960530762542	0.011815047239377	chr20p	5707.1	20	p	5.7071	Positive	Other
2436A	chr20	p	28012753	INV	1	0.000618	28.012753	0.0356980265381271	2.20613804005626e-05	chr20p	5707.1	20	p	5.7071	Positive	Other
2436A	chr20	q	38197502	DEL	2	0.00417	38.197502	0.0523594448663161	0.000109169442546269	chr20q	4378.4	20	q	4.3784	Negative	Other
2436A	chr20	q	38197502	INS	1	0.004595	38.197502	0.0261797224331581	0.000120295824580361	chr20q	4378.4	20	q	4.3784	Negative	Other
2436A	chr21	q	33956153	BND	6	11.328292	33.956153	0.176698461689697	0.333615294995284	chr21q	9482.6	21	q	9.4826	Negative	Other
2436A	chr21	q	33956153	DEL	1	0.001862	33.956153	0.0294497436149496	5.48354226110361e-05	chr21q	9482.6	21	q	9.4826	Negative	Other
2436A	chr22	q	37075304	BND	2	0.005264	37.075304	0.0539442643545148	0.000141981303781083	chr22q	7070.1	22	q	7.0701	Positive	Other
2436A	chr22	q	37075304	DEL	2	0.00167	37.075304	0.0539442643545148	4.50434607360199e-05	chr22q	7070.1	22	q	7.0701	Positive	Other
2436A	chr22	q	37075304	INS	2	0.000542	37.075304	0.0539442643545148	1.46188956400735e-05	chr22q	7070.1	22	q	7.0701	Positive	Other
2436A	chr3	p	94076514	BND	2	0.000922	94.076514	0.0212592911340231	9.80053321278465e-06	chr3p	4739.2	3	p	4.7392	Negative	Other
2436A	chr3	p	94076514	DEL	2	0.030786	94.076514	0.0212592911340231	0.000327244268426018	chr3p	4739.2	3	p	4.7392	Negative	Other
2436A	chr3	p	94076514	DUP	1	0.002623	94.076514	0.0106296455670115	2.78815603222713e-05	chr3p	4739.2	3	p	4.7392	Negative	Other
2436A	chr3	p	94076514	INS	1	0.001376	94.076514	0.0106296455670115	1.46263923002079e-05	chr3p	4739.2	3	p	4.7392	Negative	Other
2436A	chr3	q	107029434	DEL	8	0.152849	107.029434	0.0747457937598736	0.00142810247880036	chr3q	4078.05	3	q	4.07805	Negative	Other
2436A	chr3	q	107029434	DUP	1	0.004755	107.029434	0.0093432242199842	4.44270311660249e-05	chr3q	4078.05	3	q	4.07805	Negative	Other
2436A	chr3	q	107029434	INS	2	0.005387	107.029434	0.0186864484399684	5.03319488730549e-05	chr3q	4078.05	3	q	4.07805	Negative	Other
2436A	chr4	q	141122471	BND	4	0.025252	141.122471	0.0283441748975611	0.000178936776128303	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	Other
2436A	chr4	q	141122471	DEL	7	0.023752	141.122471	0.049602306070732	0.000168307710541718	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	Other
2436A	chr4	q	141122471	DUP	2	0.008293	141.122471	0.0141720874487806	5.87645606063686e-05	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	Other
2436A	chr4	q	141122471	INS	2	0.007524	141.122471	0.0141720874487806	5.33153929823125e-05	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	Other
2436A	chr4	q	141122471	INV	1	0.004611	141.122471	0.00708604372439029	3.26737476131636e-05	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	Other
2436A	chr5	p	48317879	BND	4	0.01901	48.317879	0.0827850907942379	0.000393436143999616	chr5p	6545.75	5	p	6.54575	Positive	Other
2436A	chr5	p	48317879	DEL	3	0.0157	48.317879	0.0620888180956784	0.000324931481367384	chr5p	6545.75	5	p	6.54575	Positive	Other
2436A	chr5	p	48317879	DUP	1	0.000212	48.317879	0.0206962726985595	4.38760981209461e-06	chr5p	6545.75	5	p	6.54575	Positive	Other
2436A	chr5	p	48317879	INS	2	0.001255	48.317879	0.0413925453971189	2.59738222366921e-05	chr5p	6545.75	5	p	6.54575	Positive	Other
2436A	chr5	q	133727560	BND	2	0.012432	133.72756	0.0149557802445509	9.29651300001286e-05	chr5q	10542.2083333333	5	q	10.5422083333333	Negative	Other
2436A	chr5	q	133727560	DEL	3	0.009181	133.72756	0.0224336703668264	6.86545092126111e-05	chr5q	10542.2083333333	5	q	10.5422083333333	Negative	Other
2436A	chr5	q	133727560	INS	4	0.004713	133.72756	0.0299115604891019	3.52432961462843e-05	chr5q	10542.2083333333	5	q	10.5422083333333	Negative	Other
2436A	chr6	p	59672548	BND	9	50.110166	59.672548	0.150823122216936	0.839752410103219	chr6p	4048.5	6	p	4.0485	Negative	Other
2436A	chr6	p	59672548	DEL	7	0.038672	59.672548	0.117306872835395	0.000648070198041485	chr6p	4048.5	6	p	4.0485	Negative	Other
2436A	chr6	q	112454080	BND	7	50.109232	112.45408	0.0622476303216388	0.445597278462462	chr6q	5896.92857142857	6	q	5.89692857142857	Positive	Other
2436A	chr6	q	112454080	DEL	11	0.312787	112.45408	0.0978177047911468	0.00278146422077349	chr6q	5896.92857142857	6	q	5.89692857142857	Positive	Other
2436A	chr6	q	112454080	DUP	2	0.019167	112.45408	0.017785037234754	0.000170442904339265	chr6q	5896.92857142857	6	q	5.89692857142857	Positive	Other
2436A	chr6	q	112454080	INS	2	0.003136	112.45408	0.017785037234754	2.78869383840942e-05	chr6q	5896.92857142857	6	q	5.89692857142857	Positive	Other
2436A	chr7	p	62064435	DEL	4	0.256309	62.064435	0.0644491486952229	0.00412972421323097	chr7p	4684.33333333333	7	p	4.68433333333333	Positive	Other
2436A	chr7	p	62064435	DUP	1	0.00025	62.064435	0.0161122871738057	4.02807179345143e-06	chr7p	4684.33333333333	7	p	4.68433333333333	Positive	Other
2436A	chr7	p	62064435	INS	3	0.019023	62.064435	0.0483368615214172	0.000306504038907307	chr7p	4684.33333333333	7	p	4.68433333333333	Positive	Other
2436A	chr7	p	62064435	INV	1	0.001094	62.064435	0.0161122871738057	1.76268421681435e-05	chr7p	4684.33333333333	7	p	4.68433333333333	Positive	Other
2436A	chr7	q	98502993	BND	4	0.025682	98.502993	0.0406079031527499	0.000260723042192231	chr7q	6483.08333333333	7	q	6.48308333333333	Positive	Other
2436A	chr7	q	98502993	DEL	4	0.039386	98.502993	0.0406079031527499	0.000399845718393552	chr7q	6483.08333333333	7	q	6.48308333333333	Positive	Other
2436A	chr7	q	98502993	DUP	2	0.096803	98.502993	0.0203039515763749	0.000982741712223912	chr7q	6483.08333333333	7	q	6.48308333333333	Positive	Other
2436A	chr7	q	98502993	INS	1	0.000336	98.502993	0.0101519757881875	3.41106386483099e-06	chr7q	6483.08333333333	7	q	6.48308333333333	Positive	Other
2436A	chr8	p	45270456	DEL	5	0.348187	45.270456	0.110447308063343	0.00769126337053022	chr8p	4764.75	8	p	4.76475	Negative	Other
2436A	chr8	p	45270456	INS	1	0.003201	45.270456	0.0220894616126685	7.0708366622152e-05	chr8p	4764.75	8	p	4.76475	Negative	Other
2436A	chr8	q	100988875	BND	2	171.068282	100.988875	0.0198041615970076	1.69393195042523	chr8q	6406.33333333333	8	q	6.40633333333333	Negative	Other
2436A	chr8	q	100988875	DEL	3	0.014262	100.988875	0.0297062423955114	0.000141223476348261	chr8q	6406.33333333333	8	q	6.40633333333333	Negative	Other
2436A	chr8	q	100988875	INS	3	0.001975	100.988875	0.0297062423955114	1.9556609577045e-05	chr8q	6406.33333333333	8	q	6.40633333333333	Negative	Other
2436A	chr8	q	100988875	INV	2	0.008371	100.988875	0.0198041615970076	8.28903183642753e-05	chr8q	6406.33333333333	8	q	6.40633333333333	Negative	Other
2436A	chr9	p	46267185	DEL	2	0.031917	46.267185	0.0432271814245885	0.000689840974764296	chr9p	4389.58333333333	9	p	4.38958333333333	Negative	Other
2436A	chr9	p	46267185	INS	3	0.011056	46.267185	0.0648407721368828	0.000238959858915125	chr9p	4389.58333333333	9	p	4.38958333333333	Negative	Other
2436A	chr9	q	104350062	BND	4	0.001576	104.350062	0.0383325119634332	1.51030097135927e-05	chr9q	3546.25	9	q	3.54625	Negative	Other
2436A	chr9	q	104350062	DEL	2	0.009613	104.350062	0.0191662559817166	9.21226093761209e-05	chr9q	3546.25	9	q	3.54625	Negative	Other
2436A	chr9	q	104350062	DUP	2	0.011425	104.350062	0.0191662559817166	0.000109487237295556	chr9q	3546.25	9	q	3.54625	Negative	Other
2436A	chr9	q	104350062	INS	2	0.009395	104.350062	0.0191662559817166	9.00334874741138e-05	chr9q	3546.25	9	q	3.54625	Negative	Other
3188	chr1	p	124048267	DEL	3	0.00479	124.048267	0.0241841347126599	3.86140017578803e-05	chr1p	1642.5	1	p	1.6425	Negative	Short TL
3188	chr1	p	124048267	INS	2	0.000667	124.048267	0.0161227564751066	5.37693928444804e-06	chr1p	1642.5	1	p	1.6425	Negative	Short TL
3188	chr1	q	124339061	DEL	4	0.056101	124.339061	0.0321700997886738	0.000451193692061097	chr1q	3086.5	1	q	3.0865	Negative	Short TL
3188	chr1	q	124339061	DUP	1	0.006393	124.339061	0.00804252494716845	5.14158619872479e-05	chr1q	3086.5	1	q	3.0865	Negative	Short TL
3188	chr1	q	124339061	INS	1	0.002931	124.339061	0.00804252494716845	2.35726406201507e-05	chr1q	3086.5	1	q	3.0865	Negative	Short TL
3188	chr10	p	40649191	BND	4	0.034702	40.649191	0.0984029423857414	0.0008536947266675	chr10p	2136	10	p	2.136	Negative	Short TL
3188	chr10	p	40649191	DEL	4	0.040349	40.649191	0.0984029423857414	0.000992615080580571	chr10p	2136	10	p	2.136	Negative	Short TL
3188	chr10	p	40649191	DUP	1	0.004431	40.649191	0.0246007355964354	0.000109005859427805	chr10p	2136	10	p	2.136	Negative	Short TL
3188	chr10	p	40649191	INS	3	0.002651	40.649191	0.0738022067893061	6.52165500661501e-05	chr10p	2136	10	p	2.136	Negative	Short TL
3188	chr10	q	94108943	BND	4	0.044214	94.108943	0.0425039307900844	0.000469817198988198	chr10q	3496.5	10	q	3.4965	Positive	Short TL
3188	chr10	q	94108943	DEL	5	0.012671	94.108943	0.0531299134876055	0.00013464182676029	chr10q	3496.5	10	q	3.4965	Positive	Short TL
3188	chr11	p	52743313	DEL	3	0.059575	52.743313	0.05687924837031	0.00112952707388707	chr11p	2651.25	11	p	2.65125	Negative	Short TL
3188	chr11	p	52743313	DUP	1	1.463048	52.743313	0.01895974945677	0.0277390235232284	chr11p	2651.25	11	p	2.65125	Negative	Short TL
3188	chr11	q	82384456	BND	4	0.00405	82.384456	0.0485528483674153	4.9159758972008e-05	chr11q	3293	11	q	3.293	Negative	Short TL
3188	chr11	q	82384456	DEL	3	0.036913	82.384456	0.0364146362755615	0.000448057822946601	chr11q	3293	11	q	3.293	Negative	Short TL
3188	chr11	q	82384456	DUP	2	0.039097	82.384456	0.0242764241837077	0.000474567678155209	chr11q	3293	11	q	3.293	Negative	Short TL
3188	chr11	q	82384456	INS	1	0.000327	82.384456	0.0121382120918538	3.9691953540362e-06	chr11q	3293	11	q	3.293	Negative	Short TL
3188	chr12	p	35911664	BND	3	142.878823	35.911664	0.0835383178011467	3.9786188409426	chr12p	2473.5	12	p	2.4735	Positive	Short TL
3188	chr12	p	35911664	DEL	3	0.036195	35.911664	0.0835383178011467	0.00100788980427084	chr12p	2473.5	12	p	2.4735	Positive	Short TL
3188	chr12	p	35911664	INS	2	0.004861	35.911664	0.0556922118674311	0.000135359920943791	chr12p	2473.5	12	p	2.4735	Positive	Short TL
3188	chr12	q	97412884	BND	5	142.443631	97.412884	0.0513279126403854	1.46226684962946	chr12q	2691	12	q	2.691	Positive	Short TL
3188	chr12	q	97412884	DEL	2	0.003183	97.412884	0.0205311650561542	3.26753491868694e-05	chr12q	2691	12	q	2.691	Positive	Short TL
3188	chr12	q	97412884	DUP	1	0.050117	97.412884	0.0102655825280771	0.000514480199559639	chr12q	2691	12	q	2.691	Positive	Short TL
3188	chr12	q	97412884	INS	1	0.003101	97.412884	0.0102655825280771	3.1833571419567e-05	chr12q	2691	12	q	2.691	Positive	Short TL
3188	chr13	p	16522942	DEL	1	0.000948	16.522942	0.0605219094759275	5.73747701831792e-05	chr13p	4230.5	13	p	4.2305	Negative	Short TL
3188	chr13	q	97043744	BND	30	385.210022	97.043744	0.309138938415237	3.96944724226633	chr13q	3465	13	q	3.465	Positive	Short TL
3188	chr13	q	97043744	DEL	5	0.087002	97.043744	0.0515231564025395	0.000896523530666748	chr13q	3465	13	q	3.465	Positive	Short TL
3188	chr13	q	97043744	DUP	2	0.243186	97.043744	0.0206092625610158	0.00250594206258159	chr13q	3465	13	q	3.465	Positive	Short TL
3188	chr13	q	97043744	INS	3	0.001954	97.043744	0.0309138938415237	2.01352495221124e-05	chr13q	3465	13	q	3.465	Positive	Short TL
3188	chr14	q	89761231	BND	172	3398.584494	89.761231	1.91619475450376	37.8624987217477	chr14q	2626	14	q	2.626	Positive	Short TL
3188	chr14	q	89761231	DEL	5	11.741775	89.761231	0.0557033358867371	0.130811207346299	chr14q	2626	14	q	2.626	Positive	Short TL
3188	chr14	q	89761231	DUP	7	266.059676	89.761231	0.077984670241432	2.96408229962889	chr14q	2626	14	q	2.626	Positive	Short TL
3188	chr14	q	89761231	INS	2	0.003225	89.761231	0.0222813343546948	3.59286516469454e-05	chr14q	2626	14	q	2.626	Positive	Short TL
3188	chr15	q	82566565	BND	4	0.092964	82.566565	0.0484457600967171	0.0011259279104078	chr15q	1874	15	q	1.874	Negative	Short TL
3188	chr15	q	82566565	DEL	2	0.005549	82.566565	0.0242228800483586	6.72063806941708e-05	chr15q	1874	15	q	1.874	Negative	Short TL
3188	chr15	q	82566565	DUP	1	0.536071	82.566565	0.0121114400241793	0.00649259176520181	chr15q	1874	15	q	1.874	Negative	Short TL
3188	chr16	p	36838903	DEL	2	0.006629	36.838903	0.0542904331326044	0.000179945640618017	chr16p	2958	16	p	2.958	Positive	Short TL
3188	chr16	p	36838903	INS	1	8.1e-05	36.838903	0.0271452165663022	2.19876254187048e-06	chr16p	2958	16	p	2.958	Positive	Short TL
3188	chr16	q	59491471	BND	6	0.109588	59.491471	0.10085479311816	0.00184207917803882	chr16q	2897.5	16	q	2.8975	Negative	Short TL
3188	chr16	q	59491471	DEL	3	0.021775	59.491471	0.0504273965590799	0.000366018853357988	chr16q	2897.5	16	q	2.8975	Negative	Short TL
3188	chr16	q	59491471	INS	1	5.4e-05	59.491471	0.01680913218636	9.07693138063438e-07	chr16q	2897.5	16	q	2.8975	Negative	Short TL
3188	chr16	q	59491471	INV	1	0.000662	59.491471	0.01680913218636	1.11276455073703e-05	chr16q	2897.5	16	q	2.8975	Negative	Short TL
3188	chr17	p	25689679	INS	1	0.00381	25.689679	0.0389261383919978	0.000148308587273512	chr17p	2353	17	p	2.353	Positive	Short TL
3188	chr17	q	58587218	BND	2	0.001646	58.587218	0.034137138923374	2.80948653339368e-05	chr17q	2825.75	17	q	2.82575	Positive	Short TL
3188	chr17	q	58587218	DEL	3	0.013307	58.587218	0.0512057083850611	0.000227131453826669	chr17q	2825.75	17	q	2.82575	Positive	Short TL
3188	chr17	q	58587218	INS	2	0.008385	58.587218	0.034137138923374	0.000143119954936246	chr17q	2825.75	17	q	2.82575	Positive	Short TL
3188	chr18	p	18449624	INS	1	0.001397	18.449624	0.0542016466026625	7.57197003039195e-05	chr18p	2226	18	p	2.226	Negative	Short TL
3188	chr18	q	62092914	DEL	2	0.000711	62.092914	0.0322097945024774	1.14505819456307e-05	chr18q	2874.25	18	q	2.87425	Positive	Short TL
3188	chr18	q	62092914	INS	1	0.001	62.092914	0.0161048972512387	1.61048972512387e-05	chr18q	2874.25	18	q	2.87425	Positive	Short TL
3188	chr19	p	27792923	BND	2	0.023656	27.792923	0.0719607649760337	0.000851151928136526	chr19p	3120.16666666667	19	p	3.12016666666667	Negative	Short TL
3188	chr19	p	27792923	DEL	1	0.000523	27.792923	0.0359803824880168	1.88177400412328e-05	chr19p	3120.16666666667	19	p	3.12016666666667	Negative	Short TL
3188	chr19	p	27792923	DUP	1	0.001469	27.792923	0.0359803824880168	5.28551818748967e-05	chr19p	3120.16666666667	19	p	3.12016666666667	Negative	Short TL
3188	chr19	p	27792923	INS	3	0.00157	27.792923	0.10794114746405	5.64892005061864e-05	chr19p	3120.16666666667	19	p	3.12016666666667	Negative	Short TL
3188	chr19	q	33914441	DEL	2	0.000402	33.914441	0.0589719288016571	1.18533576891331e-05	chr19q	2957.66666666667	19	q	2.95766666666667	Positive	Short TL
3188	chr19	q	33914441	DUP	1	0.005876	33.914441	0.0294859644008285	0.000173259526819269	chr19q	2957.66666666667	19	q	2.95766666666667	Positive	Short TL
3188	chr2	p	93503283	DEL	6	0.092752	93.503283	0.0641688698780769	0.000991965169821898	chr2p	3439.25	2	p	3.43925	Negative	Short TL
3188	chr2	p	93503283	DUP	1	0.167353	93.503283	0.0106948116463462	0.00178980881345097	chr2p	3439.25	2	p	3.43925	Negative	Short TL
3188	chr2	p	93503283	INS	1	0.002456	93.503283	0.0106948116463462	2.62664574034261e-05	chr2p	3439.25	2	p	3.43925	Negative	Short TL
3188	chr2	q	149193469	BND	8	3.338312	149.193469	0.0536216501541364	0.0223757247711694	chr2q	1928	2	q	1.928	Positive	Short TL
3188	chr2	q	149193469	DEL	13	0.070224	149.193469	0.0871351815004717	0.00047069084505301	chr2q	1928	2	q	1.928	Positive	Short TL
3188	chr2	q	149193469	INS	4	0.009045	149.193469	0.0268108250770682	6.06259782055205e-05	chr2q	1928	2	q	1.928	Positive	Short TL
3188	chr20	p	28012753	BND	2	0.330952	28.012753	0.0713960530762542	0.0118143332788462	chr20p	2923.75	20	p	2.92375	Positive	Short TL
3188	chr20	p	28012753	DUP	1	0.000121	28.012753	0.0356980265381271	4.31946121111338e-06	chr20p	2923.75	20	p	2.92375	Positive	Short TL
3188	chr20	p	28012753	INS	1	0.003086	28.012753	0.0356980265381271	0.00011016410989666	chr20p	2923.75	20	p	2.92375	Positive	Short TL
3188	chr20	p	28012753	INV	1	0.000618	28.012753	0.0356980265381271	2.20613804005626e-05	chr20p	2923.75	20	p	2.92375	Positive	Short TL
3188	chr20	q	38197502	BND	6	21.155756	38.197502	0.157078334598948	0.553851819943618	chr20q	2868.25	20	q	2.86825	Negative	Short TL
3188	chr20	q	38197502	DEL	3	0.016042	38.197502	0.0785391672994742	0.000419975107272722	chr20q	2868.25	20	q	2.86825	Negative	Short TL
3188	chr20	q	38197502	INS	1	0.002863	38.197502	0.0261797224331581	7.49525453261315e-05	chr20q	2868.25	20	q	2.86825	Negative	Short TL
